metric,observed,ci95_low,ci95_high,resamples,finite_resamples,seed,resampling_images,aggregation
pair2_1__mean_B_S,0.1621199729206567,0.15892397976277198,0.16533198860323686,10000,10000,42,3418,pooled_target_mean
pair2_1__mean_B_D,0.04459710510465091,0.040282162483052456,0.048855354324420806,10000,10000,42,3418,pooled_target_mean
pair2_1__mean_B_family,0.10335853900543239,0.10020713034037572,0.10644828514545614,10000,10000,42,3418,pooled_target_mean
pair2_3__mean_B_S,0.3183601671599029,0.3054756580255274,0.3313291922849162,10000,10000,42,3418,pooled_target_mean
pair2_3__mean_B_D,0.1794536240053863,0.1552328306484605,0.203516413279522,10000,10000,42,3418,pooled_target_mean
pair2_3__mean_B_family,0.24890689568521832,0.23082854793627483,0.26709769612054757,10000,10000,42,3418,pooled_target_mean
pair3_0__mean_B_S,0.20838593021444887,0.20191658174180274,0.2146615304166532,10000,10000,42,3418,pooled_target_mean
pair3_0__mean_B_D,-0.05760615902535108,-0.07200470881750592,-0.04284546542128538,10000,10000,42,3418,pooled_target_mean
pair3_0__mean_B_family,0.07538988564137108,0.06714642138055486,0.0836274653937723,10000,10000,42,3418,pooled_target_mean
pair3_1__mean_B_S,0.20390214242230534,0.1979438188146068,0.20991674238174776,10000,10000,42,3418,pooled_target_mean
pair3_1__mean_B_D,-0.02096247738937579,-0.03175789452857331,-0.010183996793978285,10000,10000,42,3418,pooled_target_mean
pair3_1__mean_B_family,0.09146983253619617,0.08573986789265309,0.09711241764458474,10000,10000,42,3418,pooled_target_mean
pair3_2__mean_B_S,0.28121604290784324,0.27179531448529815,0.2913740196860493,10000,10000,42,3418,pooled_target_mean
pair3_2__mean_B_D,0.07695660331556874,0.05760269684129728,0.09777714622637686,10000,10000,42,3418,pooled_target_mean
pair3_2__mean_B_family,0.1790863231221556,0.16624437972492837,0.1929986546751903,10000,10000,42,3418,pooled_target_mean
old_image_auroc,0.7348502223175151,0.7260860183122455,0.7437009521421653,10000,10000,42,3418,image_balanced
old_balanced_accuracy,0.5939727493091467,0.587891326328424,0.6002023461800109,10000,10000,42,3418,pooled_sign_confusion
old_deep_win_recall,0.261652845295968,0.25052917456052826,0.27307811621605943,10000,10000,42,3418,pooled_sign_confusion
old_shallow_win_recall,0.9262926533223255,0.9220110188371057,0.9303917950894586,10000,10000,42,3418,pooled_sign_confusion
sym_image_auroc,0.7848415501407355,0.7771296174529491,0.7928154227657097,10000,10000,42,3418,image_balanced
sym_balanced_accuracy,0.7156265907137409,0.7079533058957529,0.7233136731563914,10000,10000,42,3418,pooled_sign_confusion
sym_deep_win_recall,0.6403139198678233,0.6285375386112502,0.6521043882678427,10000,10000,42,3418,pooled_sign_confusion
sym_shallow_win_recall,0.7909392615596587,0.7819087872769963,0.7998784686787396,10000,10000,42,3418,pooled_sign_confusion
sym_minus_old_image_auroc,0.049991327823220466,0.04528806149668244,0.05465395400213988,10000,10000,42,3418,paired_image_means
sym_minus_old_balanced_accuracy,0.12165384140459423,0.11581108197793545,0.1273932805615203,10000,10000,42,3418,paired_pooled_sign_confusion
sym_minus_old_deep_win_recall,0.37866107457185527,0.3685094783156083,0.3886149640157373,10000,10000,42,3418,paired_pooled_sign_confusion
sym_minus_old_shallow_win_recall,-0.1353533917626668,-0.14216000459061,-0.12875189997680286,10000,10000,42,3418,paired_pooled_sign_confusion
class2_sym_image_auroc,0.45143658967003714,0.42559046341177015,0.4771295793103195,10000,10000,42,3418,image_balanced
class3_sym_image_auroc,0.3408509823356585,0.27864660101123706,0.405787807967539,10000,10000,42,3418,image_balanced
anchor_sym_minus_fixed_average_accuracy,0.011296645655373583,0.010715578775861911,0.01190176153470975,10000,10000,42,3418,paired_pooled_segmentation
anchor_sym_minus_fixed_average_miou,0.01965065579621461,0.018105434455128196,0.02129967145576579,10000,10000,42,3418,paired_pooled_segmentation
anchor_sym_minus_anchor_old_accuracy,0.006091621177156781,0.004722797410222623,0.007518445457696569,10000,10000,42,3418,paired_pooled_segmentation
anchor_sym_minus_anchor_old_miou,0.024083734760570574,0.020580925854346524,0.027441347978545333,10000,10000,42,3418,paired_pooled_segmentation
ctx_sym_Both_Wrong_accuracy,0.336057224577509,0.32321644120742465,0.3487655095469889,10000,10000,42,3418,pooled_target_ratio
ctx_sym_ThirdClassRescueRate,0.336057224577509,0.32321644120742465,0.3487655095469889,10000,10000,42,3418,pooled_target_ratio
ctx_sym_ThirdClassHarmRate,0.04526062588796071,0.04262731371192828,0.04796407729997585,10000,10000,42,3418,pooled_target_ratio
mean_Delta_old,-0.12428558690376834,-0.1271760896228292,-0.12144496863836707,10000,10000,42,3418,pooled_target_mean
mean_Delta_sym,-0.03161885002188026,-0.03314099125804494,-0.030096312780719652,10000,10000,42,3418,pooled_target_mean
BiasShrink,0.7455952193208514,0.7353931595441142,0.7560094821758752,10000,10000,42,3418,ratio_of_paired_target_means
