group,score,targets,winner_targets,mean_score,auroc,auprc,positive,negative,prevalence,image_auroc,image_auprc,auc_images,accuracy,balanced_accuracy,macro_f1,deep_win_recall,shallow_win_recall,zero_ties
class2,ctx_D,323515,86599,0.03552489185494454,0.6695748833042144,0.9240528749463982,74850,11749,0.8643286873982379,0.5609007463454062,0.813036785864574,723,0.7424219679211076,0.5890230280403631,0.5639886915164208,0.7995457581830328,0.3785002978976934,0
class2,ctx_sym,323515,86599,-0.05363944143365667,0.5219134555319395,0.8733382564715245,74850,11749,0.8643286873982379,0.4432162775782328,0.7832216913084487,723,0.5135740597466484,0.5284635853259558,0.4389819651244935,0.5080293921175685,0.5488977785343433,0
class3,ctx_S,145803,74754,-0.26346506613671905,0.0625787836220693,0.9806566297315337,74336,418,0.9944083259758675,0.08243900630793483,0.9626023116765441,107,0.011116461995344731,0.4218955970253776,0.011113425167311227,0.006470619888075764,0.8373205741626795,0
class3,ctx_D,145803,74754,0.13293758549836265,0.8953585987174232,0.9993337298261937,74336,418,0.9944083259758675,0.588905955748074,0.9762694600474999,107,0.884019584236295,0.7799190459663815,0.49963550868321455,0.8851969436074042,0.6746411483253588,0
class3,ctx_sym,145803,74754,-0.09138759274120209,0.5358167949947169,0.994996683848146,74336,418,0.9944083259758675,0.34432748431976185,0.9695025599255078,107,0.22877705540840623,0.5194433988593368,0.18967094384185706,0.2254896685320706,0.8133971291866029,0
boundary,ctx_S,201144,51796,-0.13604565132999466,0.5262474977566526,0.5022925940713003,25404,26392,0.49046258398331916,0.5275294502984588,0.6081429180033573,1838,0.5102324503822689,0.5028040231483953,0.4174825628992837,0.11336797354747284,0.8922400727493179,0
boundary,ctx_D,201144,51796,-0.02318329929998858,0.5706961318968464,0.5404560769915147,25404,26392,0.49046258398331916,0.5548945217589248,0.6224829341274004,1838,0.5492122943856669,0.5496947622867925,0.5491134241455584,0.5749881908360888,0.5244013337374962,0
boundary,ctx_sym,201144,51796,-0.08953287879736191,0.552167305980699,0.520784147684684,25404,26392,0.49046258398331916,0.5433223147936795,0.6159430246418061,1838,0.5261217082400186,0.5216407582177677,0.49589635551185357,0.2867264997638167,0.7565550166717186,0
interior,ctx_S,2277999,445833,-0.10016206819502736,0.6389744127719942,0.7769588802348134,289326,156507,0.6489559992194387,0.7336381116980955,0.8291187792556608,3155,0.47624334672399754,0.5833229345934611,0.45754622668440165,0.22388931516697427,0.942756554019948,0
interior,ctx_D,2277999,445833,0.017611993255891262,0.8322419567077431,0.8935605874976371,289326,156507,0.6489559992194387,0.7947977924556506,0.8315274803543916,3155,0.7722779605816528,0.7448557809766971,0.7473785211194087,0.8369037003242018,0.6528078616291924,0
