group,context,targets,different_from_both,correct_third_class,wrong_third_class,rescue_rate,rescue_precision,intrusion_rate,harm_rate,equals_shallow,equals_deep,accuracy,miou
Top20_Deep_Wrong,ctx_D,196453,41033,30423,10610,0.15486146813741708,0.7414276314186143,0.20886929698197534,0.054007828844558244,0.3504502349162395,0.5447257104752791,0.3686785134357836,0.18952524120934014
Top20_Deep_Wrong,ctx_sym,196453,45402,33684,11718,0.1714608583223468,0.7419056429232193,0.23110871302550737,0.05964785470316055,0.43419036614355594,0.43004179116633495,0.4553608242174973,0.22624636103889403
Shallow_Correct,ctx_S,1770736,111246,0,111246,0.0,0.0,0.0628247237306973,0.0628247237306973,0.9151341589034164,0.8624848650504648,0.9151341589034164,0.6850280771752444
Shallow_Correct,ctx_D,1770736,82999,0,82999,0.0,0.0,0.04687259986807746,0.04687259986807746,0.9061785607792466,0.9022270965293527,0.9061785607792466,0.7393128431811087
Shallow_Correct,ctx_sym,1770736,73976,0,73976,0.0,0.0,0.04177697861228325,0.04177697861228325,0.9226909036694346,0.8958184619276957,0.9226909036694346,0.804463219441957
Top20_Shallow_Correct,ctx_S,171778,27433,0,27433,0.0,0.0,0.15970031086635075,0.15970031086635075,0.7074072349194891,0.4188487466381027,0.7074072349194891,0.4493636612410568
Top20_Shallow_Correct,ctx_D,171778,11865,0,11865,0.0,0.0,0.0690717088334944,0.0690717088334944,0.609251475741946,0.6863975596409319,0.609251475741946,0.4403408650887181
Top20_Shallow_Correct,ctx_sym,171778,13339,0,13339,0.0,0.0,0.07765255154909244,0.07765255154909244,0.6835799694955117,0.5976667559291644,0.6835799694955117,0.5330028014635456
Shallow_Wrong,ctx_S,708407,198383,132889,65494,0.1875884907969571,0.6698608247682513,0.28004099338374694,0.0924525025867898,0.42760729354735344,0.5415770877475802,0.4470989134777042,0.24735218966817552
Shallow_Wrong,ctx_D,708407,166594,132095,34499,0.18646766618624605,0.7929157112501051,0.23516707203627293,0.04869940585002689,0.3054190599471773,0.7177893499076096,0.5851565554829357,0.43486009954302096
Shallow_Wrong,ctx_sym,708407,167265,132298,34967,0.18675422461946312,0.7909484949032972,0.23611426764557664,0.04936004302611352,0.3329004371780629,0.6928375919492608,0.5675282711774446,0.4168101875560334
Top20_Shallow_Wrong,ctx_S,313673,75287,35960,39327,0.11464168098625001,0.477638901802436,0.24001747042302016,0.12537578943677014,0.3369336857172916,0.4692530118945526,0.49167763881494425,0.305032553655601
Top20_Shallow_Wrong,ctx_D,313673,42172,30423,11749,0.09698954006242169,0.7214028265199659,0.1344457444536189,0.0374562043911972,0.11680316762998409,0.8139144905682032,0.7459041740921278,0.5922002003896136
Top20_Shallow_Wrong,ctx_sym,313673,48395,33684,14711,0.10738571697277101,0.6960223163549953,0.154284876288364,0.04689915931559299,0.14925097155317799,0.7561760176999615,0.7249842989355156,0.5713531739119291
class0,ctx_S,965133,84077,65580,18497,0.06794918420570015,0.779999286368448,0.08711441842730484,0.01916523422160469,0.85379631615539,0.830594332594575,0.9165109886409438,0.22912774716023596
class0,ctx_D,965133,79113,38917,40196,0.04032293994713682,0.4919166255861869,0.08197108585034395,0.041648145903207125,0.8254478916377328,0.867057700855737,0.8388097806209093,0.20970244515522732
class0,ctx_sym,965133,75059,48566,26493,0.050320525772095656,0.6470376637045524,0.07777062850405074,0.027450102731955077,0.8440163169221236,0.8576040815100096,0.8748928904099228,0.2187232226024807
class1,ctx_S,1044692,106472,54545,51927,0.052211560919390596,0.5122943121196183,0.10191712006983876,0.04970555915044817,0.7915529170320056,0.8066942218376325,0.8407272191229568,0.2101818047807392
class1,ctx_D,1044692,93583,52704,40879,0.05044931903374392,0.5631792098992339,0.08957951243045797,0.03913019339671406,0.7633532179819507,0.8562226953015817,0.8507560122983616,0.2126890030745904
class1,ctx_sym,1044692,90664,54441,36223,0.05211201004698036,0.6004698667607871,0.08678538746348206,0.034673377416501706,0.7818993540679933,0.8442076707776072,0.858944071554104,0.214736017888526
class2,ctx_S,323515,68531,12653,55878,0.039111014945211194,0.18463177248252616,0.21183252708529743,0.17272151214008624,0.5853484382486129,0.6861845664034125,0.49427383583450535,0.12356845895862634
class2,ctx_D,323515,53911,27111,26800,0.08380136933372487,0.5028843835209883,0.1666414231179389,0.08284005378421402,0.55903126593821,0.7925845787675997,0.661459283186251,0.16536482079656276
class2,ctx_sym,323515,54184,22096,32088,0.06829976971701467,0.40779565923519856,0.167485278889696,0.09918550917268133,0.5718251085730183,0.7793889000510023,0.6201752623525957,0.15504381558814892
class3,ctx_S,145803,50549,111,50438,0.0007613012077940783,0.002195889137272745,0.34669382660164744,0.34593252539385333,0.569645343374279,0.30532979431150253,0.09895543987435101,0.024738859968587754
class3,ctx_D,145803,22986,13363,9623,0.09165106342119161,0.5813538675715653,0.1576510771383305,0.06600001371713887,0.3153090128461006,0.8118145717166313,0.7324883575783763,0.18312208939459407
class3,ctx_sym,145803,21334,7195,14139,0.049347407117823365,0.33725508577856944,0.14632072042413394,0.09697331330631057,0.3651845298107721,0.7906970364121452,0.641461423976187,0.16036535599404675
boundary,ctx_S,201144,45571,16934,28637,0.08418844211112436,0.37159597112198545,0.22655908205067016,0.1423706399395458,0.644841506582349,0.6263970091079027,0.48893827307799387,0.23875970192102672
boundary,ctx_D,201144,36774,13963,22811,0.0694179294435827,0.37969761244357425,0.18282424531678798,0.11340631587320527,0.6049049437219107,0.7411705047130414,0.49784234180487613,0.29992323058355663
boundary,ctx_sym,201144,36886,14342,22544,0.07130215169231993,0.3888196063547145,0.18338106033488447,0.11207890864256453,0.6307471264367817,0.7168297339219664,0.502495724456111,0.29284140173894735
interior,ctx_S,2277999,264058,115955,148103,0.05090212945659765,0.43912700997508125,0.11591664438834258,0.06501451493174493,0.7873906002592627,0.7835359014643992,0.8072180892089944,0.5196634690573525
interior,ctx_D,2277999,212819,118132,94687,0.051857792738276,0.5550820180528994,0.09342365821934075,0.041565865481064744,0.7459577462501081,0.8590921242722231,0.8424033548741681,0.683879217039796
interior,ctx_sym,2277999,204355,117956,86399,0.051780531949311655,0.5772112255633579,0.08970811664096429,0.03792758469165263,0.7650574034492552,0.8485003724760195,0.8493458513370726,0.6881421011357002
Q1,ctx_S,495830,27928,12085,15843,0.02437327309763427,0.43271985104554567,0.0563257568118105,0.03195248371417623,0.9429381037855716,0.9427848254442047,0.9165782627110098,0.602528060422696
Q1,ctx_D,495830,30150,13743,16407,0.02771716112377226,0.4558208955223881,0.06080713147651413,0.03308997035274187,0.9383639553879354,0.9384426113789001,0.9194219793074239,0.6633999995830077
