group,field,targets,mean,std,median,p05,p25,p50,p75,p95,ci95_low,ci95_high
pair0_3,B_D,63094,0.2764141502999964,0.2463762973658876,0.2974540889263153,-0.11605918109416961,0.05815521255135536,0.2974540889263153,0.5018129497766495,0.6191137224435806,0.2583661483577972,0.292928015583173
pair0_3,B_family,63094,0.33222613795546924,0.18049940907663792,0.33944758772850037,0.04849855899810791,0.17483540251851082,0.33944758772850037,0.4875263497233391,0.6036690086126327,0.3182714920235739,0.3452854033854743
pair1_0,B_S,66979,0.21424772131977676,0.07819680634203496,0.20932847261428833,0.09772626161575318,0.1655842661857605,0.20932847261428833,0.25579410791397095,0.348552468419075,0.21147904209585783,0.21707215852494582
pair1_0,B_D,66979,-0.035707730924888804,0.1332633470499447,-0.042966485023498535,-0.24802679419517518,-0.13106617331504822,-0.042966485023498535,0.06984955072402954,0.17405632734298704,-0.04027450731919296,-0.031025251429571944
pair1_0,B_family,66979,0.08926999519811141,0.08062745154370551,0.08354058861732483,-0.02953634411096573,0.029538840055465698,0.08354058861732483,0.14545843750238419,0.22662339210510252,0.08618653338226405,0.09236268065444878
pair1_2,B_S,76360,0.23482338052092733,0.09680918849733344,0.23140355944633484,0.08050895631313325,0.17149220407009125,0.23140355944633484,0.29540857672691345,0.39896905422210693,0.23122958635013824,0.2383939332327683
pair1_2,B_D,76360,0.11014682942398396,0.1440391444739106,0.10081011056900024,-0.10989411920309067,0.0031273886561393738,0.10081011056900024,0.2152339369058609,0.35368667244911206,0.10421630450535863,0.11590795444537735
pair1_2,B_family,76360,0.17248510498067607,0.10187777608744682,0.16416259855031967,0.0229487344622612,0.09513959288597107,0.16416259855031967,0.2410138100385666,0.3541714608669281,0.16811819568483444,0.17670392465373896
pair1_3,B_S,86266,0.36577340463647545,0.1645308678175534,0.3503912687301636,0.12122024595737457,0.23679596185684204,0.3503912687301636,0.4929283782839775,0.6450082957744598,0.3536969319156326,0.37694685171537723
pair1_3,B_D,86266,0.27476338288388286,0.24216632684017148,0.2764485776424408,-0.0970800407230854,0.05961398035287857,0.2764485776424408,0.4994434714317322,0.6242544651031494,0.25705744739957387,0.2911459924401009
pair1_3,B_family,86266,0.3202683937786186,0.19097282449946998,0.3122733384370804,0.03976384922862053,0.15033718198537827,0.3122733384370804,0.48981183022260666,0.6163013428449631,0.3053653795203274,0.3340262269222488
pair2_0,B_S,5604,0.20625017240888133,0.07124978976901636,0.21106207370758057,0.08585533797740937,0.16728414595127106,0.21106207370758057,0.25041647255420685,0.31182518899440753,0.20008459644951915,0.21201320536557872
pair2_0,B_D,5604,-0.02162408736999081,0.12407874826781086,-0.015577226877212524,-0.2402986168861389,-0.1090380847454071,-0.015577226877212524,0.07881152629852295,0.15510333776473997,-0.029541955850377607,-0.013971872599448432
pair2_0,B_family,5604,0.09231304252542805,0.07166734976563999,0.09328772127628326,-0.02587572336196899,0.04353540018200874,0.09328772127628326,0.14601582288742065,0.2038095273077487,0.08703589724070093,0.09756818585854375
pair2_1,B_S,35079,0.1621199729206567,0.08380047093849281,0.1675592064857483,0.018022972345352172,0.11144447326660156,0.1675592064857483,0.21887096762657166,0.2878955870866775,0.15892397976277198,0.16533198860323686
pair2_1,B_D,35079,0.04459710510465091,0.11983151982254207,0.052071452140808105,-0.16398944854736328,-0.03150768578052521,0.052071452140808105,0.1303664743900299,0.22647079229354858,0.040282162483052456,0.048855354324420806
