group,score,targets,winner_targets,mean_score,auroc,auprc,positive,negative,prevalence,image_auroc,image_auprc,auc_images,accuracy,balanced_accuracy,macro_f1,deep_win_recall,shallow_win_recall,zero_ties
pair0_3,sym,63094,46193,-0.14459026895006943,0.8785564873734062,0.9351932881738807,32874,13319,0.7116662697811357,0.595886881133587,0.8891036007797454,134,0.5808672309657308,0.6940044881611485,0.5805717794301348,0.4267506235931131,0.9612583527291839,0
pair1_0,old,66979,61970,-0.06733294031242316,0.7462331513155334,0.8247601289917779,39164,22806,0.6319832176859771,0.5772073798686972,0.8375660508057878,920,0.6250282394707116,0.6727429484235966,0.62502445005361,0.4919824328464917,0.8535034640007015,0
pair1_0,sym,66979,61970,0.02193705480075836,0.7787520558252051,0.8416888728210645,39164,22806,0.6319832176859771,0.618997069331785,0.8488356583048219,920,0.7187994190737453,0.7174538600412571,0.7077454952414143,0.7225513226432438,0.7123563974392704,0
pair1_2,old,76360,70710,-0.22835574351727275,0.6738840581066058,0.7712070395303163,43655,27055,0.6173808513647292,0.5146483730772059,0.7473911871457903,637,0.4690001414227125,0.5638156479753454,0.4267382943408983,0.1599358607261482,0.9676954352245426,0
pair1_2,sym,76360,70710,-0.055870638580503985,0.7418573422710678,0.8179001641537461,43655,27055,0.6173808513647292,0.5607928717860189,0.7645928225288494,637,0.6526092490453967,0.6821361001202262,0.6521984945452134,0.5563623868972626,0.8079098133431898,0
pair1_3,old,86266,72407,-0.49275297798603096,0.5892478920423759,0.5738581710529718,39959,32448,0.5518665322413578,0.47368727804647137,0.8779896367055597,164,0.45003936083527835,0.5015790512660833,0.3143799538984514,0.004729848094296654,0.9984282544378699,0
pair1_3,sym,86266,72407,-0.17248458417731327,0.8887439703821417,0.8912518988136552,39959,32448,0.5518665322413578,0.5628376754077219,0.8906395009398341,164,0.6896570773543994,0.7146939649444921,0.6807293120541387,0.4733351685477615,0.9560527613412229,0
pair2_0,old,5604,4616,0.11510401667440728,0.807097665021611,0.9603157354552084,3972,644,0.8604852686308492,0.4958592132505177,0.9897807743809185,23,0.8011265164644714,0.7237635498176678,0.6708552893219328,0.831067472306143,0.6164596273291926,0
pair2_0,sym,5604,4616,0.20741705916061476,0.8871318953169078,0.978344720563243,3972,644,0.8604852686308492,0.5920289855072465,0.9921890833881366,23,0.8778162911611785,0.7455574111951362,0.7455574111951362,0.9290030211480362,0.562111801242236,0
pair2_1,old,35079,29974,0.021720932328108695,0.6350476981085584,0.7500362009123218,19452,10522,0.6489624341095617,0.5210907186760539,0.8546761087884521,552,0.6017214919596984,0.60082022946702,0.5880731655053433,0.6038453629446844,0.5977950959893557,0
pair2_1,sym,35079,29974,0.12507947141945458,0.6873221024167102,0.7740426061460043,19452,10522,0.6489624341095617,0.559131983689188,0.8624357367218722,552,0.6940681924334423,0.6239326877875573,0.6280498753805092,0.8593460826650215,0.38851929291009313,0
pair2_3,old,3995,2086,-0.35530935903365385,0.5899099456889537,0.7755598201306364,1503,583,0.7205177372962608,0.0,0.9982657657657658,1,0.32070949185043146,0.5212599386704008,0.28454350606992485,0.0665335994677312,0.9759862778730704,0
pair2_3,sym,3995,2086,-0.1064024631050561,0.8125076319630608,0.9230320322711102,1503,583,0.7205177372962608,0.0,0.9982657657657658,1,0.6390220517737296,0.7274524707018211,0.6337189088225315,0.5269461077844312,0.9279588336192109,0
pair3_0,old,1273,860,-0.0028499521941344566,0.799557289248011,0.9171643573412802,666,194,0.7744186046511627,0.5174679487179488,0.9880098679788121,8,0.7325581395348837,0.7451317296678122,0.6857204596298556,0.7222222222222222,0.7680412371134021,0
pair3_0,sym,1273,860,0.0725399336754948,0.8577985201696542,0.9462902112942357,666,194,0.7744186046511627,0.6368589743589743,0.9901194733492871,8,0.8174418604651162,0.768884864245689,0.7531080915522446,0.8573573573573574,0.6804123711340206,0
pair3_1,old,1888,1397,-0.012389669147462158,0.800394374581442,0.9668296942960584,1246,151,0.8919112383679313,0.5041666666666667,0.9942804670077399,8,0.6148890479599141,0.7113597950527781,0.5252621339599283,0.5882825040128411,0.8344370860927153,0
pair3_1,sym,1888,1397,0.07908016403789743,0.8586151180466234,0.9754911425664388,1246,151,0.8919112383679313,0.5666666666666667,0.9949035812672176,8,0.8146027201145312,0.791308345646466,0.6789916115495345,0.8210272873194222,0.7615894039735099,0
pair3_2,old,713,447,-0.11394896167023487,0.6370961834297854,0.9092781667488508,374,73,0.8366890380313199,0.0,0.9963768115942029,1,0.4809843400447427,0.6402278221375723,0.4605493133583022,0.4037433155080214,0.8767123287671232,0
pair3_2,sym,713,447,0.06513736170271169,0.7731668009669621,0.9512581656708315,374,73,0.8366890380313199,0.0,0.9963768115942029,1,0.727069351230425,0.6439638121749323,0.6042755137582724,0.767379679144385,0.5205479452054794,0
