group,field,targets,mean,std,median,p05,p25,p50,p75,p95
Deep_Wrong,T_DS,576576,0.6048489312396591,0.18525188434152232,0.6317375302314758,0.23984287679195404,0.49179093539714813,0.6317375302314758,0.7449961453676224,0.863808736205101
Deep_Wrong,T_DD,576576,0.6102798575573414,0.20194819084788082,0.6274939775466919,0.24791089445352554,0.47277145087718964,0.6274939775466919,0.7561281472444534,0.9323025941848755
Top20_Deep_Wrong,T_SS,196453,0.8357125543082229,0.09951301756337431,0.8604936003684998,0.6339446783065796,0.7962109446525574,0.8604936003684998,0.9035899043083191,0.9466570258140564
Top20_Deep_Wrong,T_SD,196453,0.5708451100064672,0.1428386375322009,0.595120906829834,0.2882455766201019,0.49570098519325256,0.595120906829834,0.6690986752510071,0.7633367776870728
Top20_Deep_Wrong,T_DS,196453,0.49187069192679594,0.1901413620139863,0.5122777223587036,0.1766187995672226,0.3355961740016937,0.5122777223587036,0.6410281658172607,0.7809195041656494
Top20_Deep_Wrong,T_DD,196453,0.5828231525338246,0.20945172240394888,0.5890819430351257,0.22999752461910247,0.4288008213043213,0.5890819430351257,0.7386986613273621,0.9274278521537779
Shallow_Correct,T_SS,1770736,0.882363966969405,0.08376727603586241,0.9037108719348907,0.7147933095693588,0.851027250289917,0.9037108719348907,0.9400030970573425,0.9701521545648575
Shallow_Correct,T_SD,1770736,0.8104864456699515,0.14237393389479866,0.8282661139965057,0.5626145750284195,0.714848518371582,0.8282661139965057,0.931875929236412,0.9924031049013138
Shallow_Correct,T_DS,1770736,0.7800902801015487,0.15277119584013274,0.8208736479282379,0.4677032232284546,0.7103208154439926,0.8208736479282379,0.8909410238265991,0.9482371956110001
Shallow_Correct,T_DD,1770736,0.8435032712395688,0.1738955875757299,0.9064394235610962,0.4827583059668541,0.7511564642190933,0.9064394235610962,0.986257329583168,0.9997943043708801
Top20_Shallow_Correct,T_SS,171778,0.8587082864622073,0.07819337496060826,0.8748302161693573,0.7103820890188217,0.8298455625772476,0.8748302161693573,0.9095693975687027,0.9476199924945832
Top20_Shallow_Correct,T_SD,171778,0.6304842703442733,0.12065622592726695,0.6477789878845215,0.39575981348752975,0.5773830115795135,0.6477789878845215,0.7064266800880432,0.7942594587802887
Top20_Shallow_Correct,T_DS,171778,0.5499996311487797,0.19671056211758414,0.5695516765117645,0.19411478638648988,0.41073722392320633,0.5695516765117645,0.703846886754036,0.8417744666337966
Top20_Shallow_Correct,T_DD,171778,0.6766709817875545,0.2253817127263361,0.6946141123771667,0.2762242615222931,0.5117669850587845,0.6946141123771667,0.8687634766101837,0.9957406401634217
Shallow_Wrong,T_SS,708407,0.8097073167174099,0.1166816374516945,0.8386205434799194,0.5713229596614838,0.757557213306427,0.8386205434799194,0.8925597071647644,0.9438762664794922
Shallow_Wrong,T_SD,708407,0.5690615258855042,0.1641171862405744,0.588778555393219,0.2630072861909866,0.47277820110321045,0.588778555393219,0.6782193779945374,0.812721574306488
Shallow_Wrong,T_DS,708407,0.6304007265909233,0.18024020701623233,0.6569716334342957,0.29776902198791505,0.5084531903266907,0.6569716334342957,0.7721198499202728,0.8821069002151488
Shallow_Wrong,T_DD,708407,0.7001759271013615,0.2146672318551316,0.7262315154075623,0.29639993607997894,0.5579623281955719,0.7262315154075623,0.8754880726337433,0.9946877181529998
Top20_Shallow_Wrong,T_SS,313673,0.8113068219413581,0.11784031283976755,0.8385642170906067,0.5734401226043702,0.7565574049949646,0.8385642170906067,0.8965914249420166,0.9487390875816345
Top20_Shallow_Wrong,T_SD,313673,0.49060316276731125,0.1503543485499782,0.5127304792404175,0.20616633594036102,0.3965379297733307,0.5127304792404175,0.6019878387451172,0.6997904539108275
Top20_Shallow_Wrong,T_DS,313673,0.5648811673482006,0.1895828629612938,0.5810540318489075,0.24874856173992158,0.4090866148471832,0.5810540318489075,0.719736635684967,0.8496738910675048
Top20_Shallow_Wrong,T_DD,313673,0.7527572103715489,0.21474879312515752,0.7993195652961731,0.32910175919532775,0.6140948534011841,0.7993195652961731,0.9405683279037476,0.9987377643585205
class0,T_SS,965133,0.885069517942691,0.08980809951210818,0.9098411202430725,0.7057812333106995,0.8536679148674011,0.9098411202430725,0.9460672736167908,0.9742485523223876
class0,T_SD,965133,0.7909903763824645,0.16029571164795467,0.8101235628128052,0.5062252640724182,0.6844039559364319,0.8101235628128052,0.9299793243408203,0.9932465791702271
class0,T_DS,965133,0.7928025913767098,0.15783042676635892,0.8421850204467773,0.46599174141883853,0.7249276041984558,0.8421850204467773,0.906032145023346,0.9558711647987366
class0,T_DD,965133,0.8171075952853324,0.1937748378855503,0.8782578110694885,0.4232986867427826,0.7029598951339722,0.8782578110694885,0.987221896648407,0.9999194741249084
class1,T_SS,1044692,0.8615121761375142,0.09620546241164774,0.8871178925037384,0.6680071741342545,0.8272428810596466,0.8871178925037384,0.9266331940889359,0.9610045224428176
class1,T_SD,1044692,0.7519292423728957,0.17212049164435933,0.7655239999294281,0.4406043976545334,0.6451527178287506,0.7655239999294281,0.8926955312490463,0.9861379534006118
class1,T_DS,1044692,0.7439596565548637,0.16212768285369855,0.7831735908985138,0.39987244457006454,0.672491118311882,0.7831735908985138,0.8606793284416199,0.9292163401842117
class1,T_DD,1044692,0.8082310501583285,0.19434920042460596,0.868845134973526,0.40429101437330245,0.7008500844240189,0.868845134973526,0.9719931781291962,0.9983720451593399
class2,T_SS,323515,0.7900357550580858,0.10864375487978221,0.8187602758407593,0.5676067531108856,0.73768550157547,0.8187602758407593,0.8681537210941315,0.915237432718277
class2,T_SD,323515,0.6615687921182231,0.19327842549087862,0.6680373549461365,0.31420325934886933,0.5431130230426788,0.6680373549461365,0.7993741035461426,0.9680497050285339
class2,T_DS,323515,0.653672252298705,0.1439465950065315,0.6679884195327759,0.39577001333236694,0.5605655908584595,0.6679884195327759,0.7626031637191772,0.8632350921630859
class2,T_DD,323515,0.7569303347648987,0.19752507502536032,0.7896391153335571,0.37480761110782623,0.6339851915836334,0.7896391153335571,0.9254727959632874,0.9977100431919098
class3,T_SS,145803,0.8657083726515565,0.09362206249647036,0.8937550187110901,0.6738818526268006,0.8308629095554352,0.8937550187110901,0.9302530586719513,0.959378319978714
class3,T_SD,145803,0.5165318165161932,0.1796997814987565,0.5202124118804932,0.21396082639694214,0.39470066130161285,0.5202124118804932,0.6377736032009125,0.8160555958747863
class3,T_DS,145803,0.5080334841998091,0.17620981767576305,0.4684608578681946,0.27521962821483614,0.36831285059452057,0.4684608578681946,0.6380337774753571,0.834999519586563
class3,T_DD,145803,0.7666701112307271,0.22167654779518073,0.8247411251068115,0.33950607776641845,0.6125232875347137,0.8247411251068115,0.9689202606678009,0.9999557137489319
boundary,T_SS,201144,0.8153854833341472,0.10396151673420195,0.8418115377426147,0.6026783466339112,0.7709725350141525,0.8418115377426147,0.8878388553857803,0.933281871676445
boundary,T_SD,201144,0.6565664479026139,0.1526035906555224,0.6647039651870728,0.3829599276185036,0.5738746821880341,0.6647039651870728,0.7500937432050705,0.9052706450223922
boundary,T_DS,201144,0.6490370012332196,0.15819220970101935,0.6682343184947968,0.34534591287374494,0.5550166219472885,0.6682343184947968,0.7663449645042419,0.8726572781801221
boundary,T_DD,201144,0.6822034192891885,0.1905290617330016,0.6971281170845032,0.33741445541381837,0.5586120337247849,0.6971281170845032,0.8229907006025314,0.9774497568607329
interior,T_SS,2277999,0.8656834681971339,0.09849480330427438,0.8921037912368774,0.665256017446518,0.8289964497089386,0.8921037912368774,0.9338498711585999,0.9677896678447724
interior,T_SD,2277999,0.7489995797324215,0.18528190498139877,0.7690778970718384,0.39954714179039,0.6363742351531982,0.7690778970718384,0.9036798775196075,0.9894719183444977
interior,T_DS,2277999,0.745111973785738,0.17396240362710827,0.7919519543647766,0.3781730383634567,0.656378984451294,0.7919519543647766,0.8769770860671997,0.9432878375053407
interior,T_DD,2277999,0.8131741989009911,0.19442791986466873,0.8745688199996948,0.41083776354789736,0.7042543590068817,0.8745688199996948,0.9790765345096588,0.9996975064277649
Q1,T_SS,495830,0.8496234097165074,0.12221394405626716,0.8878083229064941,0.5919208228588104,0.797863557934761,0.8878083229064941,0.9380755722522736,0.9744234204292297
Q1,T_SD,495830,0.8748175060304736,0.165175212513682,0.9521695673465729,0.5153803050518035,0.8153929710388184,0.9521695673465729,0.9884001165628433,0.9982447743415832
Q1,T_DS,495830,0.8272469961913755,0.12925361141024383,0.8662796914577484,0.5567443400621415,0.7705151736736298,0.8662796914577484,0.9212257862091064,0.9633206635713577
Q1,T_DD,495830,0.8739161506899095,0.17201066264439283,0.9535170495510101,0.499710813164711,0.810886800289154,0.9535170495510101,0.9957456439733505,0.999942421913147
Q2,T_SS,495828,0.8722849440406036,0.10235293585454391,0.904445230960846,0.6594042152166366,0.8287390619516373,0.904445230960846,0.9469618499279022,0.9745108276605606
Q2,T_SD,495828,0.8248521354455364,0.1529572020393848,0.878380298614502,0.514054748415947,0.7408065944910049,0.878380298614502,0.9453226029872894,0.9729236125946045
Q2,T_DS,495828,0.8032083761693538,0.12993660308690239,0.8393575847148895,0.5384259879589081,0.7395905256271362,0.8393575847148895,0.899347335100174,0.9471220761537552
Q2,T_DD,495828,0.8319665700742078,0.17966126581012354,0.8904265463352203,0.46356903463602067,0.7351455092430115,0.8904265463352203,0.9822690635919571,0.9997142553329468
Q3,T_SS,495829,0.8858193967124043,0.07828396863898893,0.9080326557159424,0.7285181999206543,0.8534823656082153,0.9080326557159424,0.9417215585708618,0.9656508803367615
Q3,T_SD,495829,0.7756291123315189,0.12632098905612305,0.8087950944900513,0.5344493508338928,0.700578510761261,0.8087950944900513,0.8744390606880188,0.9190599083900451
Q3,T_DS,495829,0.7752305556724209,0.13009056163470298,0.8065726161003113,0.5160811185836792,0.7078145146369934,0.8065726161003113,0.8710463047027588,0.9294975757598877
Q3,T_DD,495829,0.8069571765299085,0.18121105066536672,0.8479359745979309,0.45009495615959166,0.7004311680793762,0.8479359745979309,0.9663262963294983,0.999167513847351
Q4,T_SS,495828,0.8759189049739767,0.06440884465841615,0.8885873854160309,0.7577488511800766,0.8490062057971954,0.8885873854160309,0.919075682759285,0.9506529241800308
Q4,T_SD,495828,0.6996884882469567,0.10151257040061254,0.7141375541687012,0.5126634746789932,0.6506411582231522,0.7141375541687012,0.7702906727790833,0.8301947861909866
Q4,T_DS,495828,0.7188996180556418,0.1418836623571874,0.7437000870704651,0.4454992800951004,0.6378450095653534,0.7437000870704651,0.8253587484359741,0.904895481467247
Q4,T_DD,495828,0.7738248650873305,0.1927178830129441,0.8067729771137238,0.40348093062639234,0.6516130566596985,0.8067729771137238,0.9445595741271973,0.9983009278774262
Q5,T_SS,495828,0.824366178569816,0.10850491024981748,0.850197434425354,0.6043961852788925,0.7788494974374771,0.850197434425354,0.9001486450433731,0.9479036271572113
Q5,T_SD,495828,0.5325124755162755,0.14866741882111326,0.5616592168807983,0.24249441102147104,0.4463943764567375,0.5616592168807983,0.6394768357276917,0.7267995446920393
Q5,T_DS,495828,0.5619989146989084,0.1924673614117849,0.5789156556129456,0.22788684740662576,0.4124273657798767,0.5789156556129456,0.7157209068536758,0.8507413506507873
Q5,T_DD,495828,0.7260746990897289,0.22427959467741174,0.7659598290920258,0.3021734744310379,0.5675550997257233,0.7659598290920258,0.9263208508491516,0.9982852101325989
Corrected_by_CH,T_SS,305318,0.8089768565040707,0.1171735897583427,0.8371224403381348,0.5712479740381241,0.7558695375919342,0.8371224403381348,0.8920981585979462,0.9455616652965545
Corrected_by_CH,T_SD,305318,0.5243454099446486,0.15353497942822308,0.5430334806442261,0.24293003380298614,0.4247675687074661,0.5430334806442261,0.6383160203695297,0.7444540590047833
Corrected_by_CH,T_DS,305318,0.6277975009151175,0.18778575839798128,0.6604439616203308,0.31133078783750534,0.47349323332309723,0.6604439616203308,0.7843835353851318,0.8859683394432067
Corrected_by_CH,T_DD,305318,0.756415875259622,0.21693729688163302,0.806979775428772,0.30825591683387754,0.6322117447853088,0.806979775428772,0.9393697082996368,0.9986475050449372
Still_Wrong,T_SS,378130,0.81500795395805,0.11794911845463503,0.8483631610870361,0.5685045897960663,0.7651778161525726,0.8483631610870361,0.8976739794015884,0.9439693093299866
Still_Wrong,T_SD,378130,0.6125630843397163,0.16888239595017482,0.635155200958252,0.28255157768726347,0.5242099761962891,0.635155200958252,0.7211401909589767,0.8614385277032852
Still_Wrong,T_DS,378130,0.6253258571257667,0.1713657854660014,0.6476683020591736,0.28582359552383424,0.5270071178674698,0.6476683020591736,0.7512253373861313,0.8697739332914353
Still_Wrong,T_DD,378130,0.6495208457490544,0.19756034845030931,0.6652819216251373,0.29142581224441527,0.5192660093307495,0.6652819216251373,0.7933841943740845,0.9607200741767883
Harmed_by_CH,T_SS,69617,0.8186606471010401,0.0950500484519978,0.8415176868438721,0.6277384638786316,0.7801388502120972,0.8415176868438721,0.8834026455879211,0.9262130260467529
Harmed_by_CH,T_SD,69617,0.5903354405262694,0.12126468098240906,0.6099916100502014,0.3569885969161987,0.5276539325714111,0.6099916100502014,0.672698974609375,0.7535609841346741
Harmed_by_CH,T_DS,69617,0.6144007311313233,0.1663565658152066,0.6303955316543579,0.2979553401470184,0.5080778002738953,0.6303955316543579,0.7414456009864807,0.8565796732902526
Harmed_by_CH,T_DD,69617,0.6506132850464418,0.1915523773274022,0.6681131720542908,0.3075112998485565,0.5218245983123779,0.6681131720542908,0.7913232445716858,0.9465309262275695
Stable_Correct,T_SS,1726078,0.8828506711491985,0.0836757017564914,0.9046606421470642,0.7150843769311905,0.8509960323572159,0.9046606421470642,0.9407262653112411,0.9704121887683868
Stable_Correct,T_SD,1726078,0.8142544785982008,0.14044942193313575,0.8333602547645569,0.5663885593414306,0.7195047289133072,0.8333602547645569,0.9342320412397385,0.9926487296819687
Stable_Correct,T_DS,1726078,0.7861806652477203,0.1489662365623995,0.8254871368408203,0.4831954345107079,0.7206618636846542,0.8254871368408203,0.892922580242157,0.9487957149744033
Stable_Correct,T_DD,1726078,0.850359422819292,0.16993682447329622,0.9136715829372406,0.4971349582076073,0.7636151015758514,0.9136715829372406,0.9874117970466614,0.9998098015785217
pair0_1,T_SS,201473,0.8374747881161513,0.10214400453095633,0.8638854026794434,0.6291741847991943,0.7968431115150452,0.8638854026794434,0.907683253288269,0.9497542977333069
pair0_1,T_SD,201473,0.5779410145422408,0.14498383441754584,0.6027910113334656,0.2901379644870758,0.504422664642334,0.6027910113334656,0.6741434931755066,0.7761762976646422
pair0_1,T_DS,201473,0.6969355481328905,0.13345526739426355,0.7115029096603394,0.4573938727378845,0.6042722463607788,0.7115029096603394,0.80345219373703,0.8859497904777527
pair0_1,T_DD,201473,0.7318199268267174,0.17771882772641504,0.7454805970191956,0.40911096930503843,0.6183607578277588,0.7454805970191956,0.8701844215393066,0.9897117376327514
pair0_2,T_SS,44977,0.7738609144541454,0.1088667971794216,0.7986801266670227,0.5548216700553894,0.7210807204246521,0.7986801266670227,0.8525249361991882,0.9038027048110961
pair0_2,T_SD,44977,0.4565422798103167,0.15025478687852914,0.47902095317840576,0.16767078042030334,0.36352869868278503,0.47902095317840576,0.5657666921615601,0.6676553964614867
pair0_2,T_DS,44977,0.6054733146702536,0.15757653589476503,0.6190166473388672,0.3273887991905212,0.49039387702941895,0.6190166473388672,0.7300521731376648,0.8404388308525085
pair0_2,T_DD,44977,0.7378291508670856,0.2017728857566039,0.775251567363739,0.34321502447128294,0.6134872436523438,0.775251567363739,0.9011117219924927,0.9938550233840943
pair0_3,T_SS,63094,0.8929906827777442,0.06554825042605049,0.9092869758605957,0.7643414229154587,0.8677656352519989,0.9092869758605957,0.9377988129854202,0.9628200620412827
pair0_3,T_SD,63094,0.5049525572290192,0.1491444723301431,0.5182526111602783,0.2379729561507702,0.4105397164821625,0.5182526111602783,0.6091846078634262,0.7310467213392258
pair0_3,T_DS,63094,0.41617427582113287,0.16457682699950513,0.3880353569984436,0.18691188395023345,0.2978472113609314,0.3880353569984436,0.5131377279758453,0.7406641811132431
pair0_3,T_DD,63094,0.6925884261440086,0.2374617551109814,0.7077461183071136,0.27630816400051117,0.5123833119869232,0.7077461183071136,0.9178947508335114,0.9991710543632507
pair1_0,T_SS,66979,0.8223021284363579,0.09102979762574126,0.8420201539993286,0.6471735537052155,0.7827959358692169,0.8420201539993286,0.8850918412208557,0.9285342812538147
pair1_0,T_SD,66979,0.6080544071256471,0.11663781060858383,0.6237943768501282,0.38787069320678713,0.5513234734535217,0.6237943768501282,0.6822790205478668,0.7696170389652252
