group,estimator,targets,accuracy,miou,dice,nll,brier,iou_class0,iou_class1,iou_class2,iou_class3
Corrected_by_CH,deep,305318,0.7237666957074264,0.5774616598137197,0.7218420611201161,1.529116248119246,0.4593241100293914,0.39126722297690664,0.5080719857839741,0.6422661930584476,0.7682412374355503
Corrected_by_CH,fixed_average,305318,0.6902671968242947,0.5436879833665569,0.6909881456123158,0.9495573248048448,0.5322493073430583,0.3436869466138106,0.4705108353989593,0.5894633972992182,0.7710907541542394
Corrected_by_CH,anchor_old,305318,0.6530895656332086,0.5011683772423328,0.6583950303646662,0.9774105300101128,0.5567742031816357,0.3249928823284641,0.45116397705640093,0.5842663854421433,0.6442502641423228
Corrected_by_CH,anchor_sym,305318,0.70402662142422,0.5628608485244806,0.706314759301895,0.8867822077035056,0.4890698238902517,0.3588360505055392,0.48111217641418985,0.6091572141307022,0.8023379530474914
Corrected_by_CH,ctx_S,305318,0.6931134096253742,0.48566617232365394,0.6130792314959546,0.8430010890092835,0.45753853587113225,0.6174355651246891,0.6097887373074313,0.6291461269786222,0.08629425988387315
Corrected_by_CH,ctx_D,305318,0.9150492273629461,0.8506998164310224,0.9184161996533475,0.33220642425207797,0.174220668075207,0.8130989150233626,0.8016710456285007,0.8478615538931925,0.9401677511790341
Corrected_by_CH,ctx_sym,305318,0.9184882646945153,0.8548803756973967,0.9214356013015927,0.5252198425374327,0.2633191182593627,0.8577027480403818,0.8285181575490487,0.8263095852059236,0.9069910119942329
Still_Wrong,shallow,378130,0.055904054161267286,0.0237367058428822,0.04614473303726413,2.446391917168606,1.2540719951817236,0.02806709834496622,0.03610994587978022,0.024717218265605363,0.00605256088117701
Still_Wrong,deep,378130,0.20463332716261604,0.1220852912509072,0.2140526320259659,7.648751650769275,1.4588123584058836,0.05228617950579796,0.13128967776896547,0.11230795607868863,0.19245735165017677
Still_Wrong,fixed_average,378130,0.17164731706027028,0.10375818918628374,0.18485389318387913,2.5709985048017465,1.2562821153359212,0.044138977644028514,0.10670577275255128,0.09087529369776641,0.17331271265078874
Still_Wrong,anchor_old,378130,0.1267553486896041,0.06153488120367962,0.11527352793171576,2.520031834808979,1.2454398276903595,0.040378820490744725,0.09370004384337796,0.061570276002083035,0.05049038447851276
Still_Wrong,anchor_sym,378130,0.16541136646126994,0.09906245069408691,0.17747061206198045,2.529979441761814,1.2408139398933107,0.04328092403195441,0.10561015959517323,0.08420641830026117,0.16315230084895882
Still_Wrong,ctx_S,378130,0.2018432814111549,0.07849746906222277,0.13850657030120955,1.4300884971600953,0.8307451573914708,0.15746856132626172,0.12957928473686695,0.02659679188502536,0.00034523830073708377
Still_Wrong,ctx_D,378130,0.29073070108163857,0.17977367117726295,0.300286258455218,1.718383483645414,0.8910182957873907,0.11159211439839907,0.18930371753534608,0.14362262609761078,0.27457622667769593
Still_Wrong,ctx_sym,378130,0.25078941104911007,0.1430405530525705,0.2486300991917662,1.401489168801113,0.8295913082600744,0.12325867284218259,0.16681910352944512,0.0966376132271557,0.18544682261149856
Harmed_by_CH,shallow,69617,0.8037979229211256,0.5260944689760352,0.6649053461660283,0.6651553246607582,0.36672393805727194,0.6991981599207744,0.6988849325337332,0.4888644150758688,0.2174303683737646
Harmed_by_CH,deep,69617,0.3715184509530718,0.16551338611852054,0.271293243563772,4.558195915794263,1.116945583000865,0.22173503619563298,0.29113628191298097,0.11925512571321085,0.029927100652257323
Harmed_by_CH,fixed_average,69617,0.4158179754944913,0.1912017238484743,0.3057796698975923,0.9369704854203985,0.6097155604014869,0.2588490319515382,0.32629941434846266,0.1462787550744249,0.03337969401947149
Harmed_by_CH,anchor_old,69617,0.45898271973799504,0.2132674459939002,0.3352974753533652,0.8769641718321357,0.5588838785787441,0.285052246295531,0.3626557526148249,0.15178635354764802,0.05357543151759695
Harmed_by_CH,anchor_sym,69617,0.4205869256072511,0.19186987790057236,0.30658863180568696,0.9351179604217157,0.6085383232356808,0.25993965211217607,0.3307896362513173,0.13971892481921136,0.03703129841958475
Harmed_by_CH,ctx_S,69617,0.2691440309119899,0.08493666007780426,0.1449913807319816,1.1100996459853731,0.7000698656113336,0.1513128896165229,0.18843375069469417,0.0,0.0
Harmed_by_CH,ctx_D,69617,0.20328368071017136,0.06745161777402235,0.11917345084894151,1.6295420060132184,0.9550339895050964,0.08401453224341508,0.170463295687885,0.009379213318482913,0.005949429846306396
Harmed_by_CH,ctx_sym,69617,0.20020971889050088,0.06316828689507431,0.11172128169925209,1.2275515911467916,0.8001214332218639,0.09218032558786698,0.1575585634133198,0.0009663080590092122,0.001967950520101209
Stable_Correct,shallow,1726078,0.9560854144482462,0.8656358358105926,0.9266392798389679,0.2806626535096534,0.12733630715571617,0.9338911047707775,0.9157370562881278,0.8447517896047307,0.768163392578734
Stable_Correct,deep,1726078,0.9144117473254395,0.7261129819595641,0.8204498697777194,0.4337508248182126,0.14241085322185568,0.8874204207620809,0.8411685759478502,0.8164804385145921,0.35938249261373306
Stable_Correct,fixed_average,1726078,0.9353389591895616,0.7710622443811356,0.8544470790768739,0.20955236216400017,0.09653818884604659,0.9125982678297224,0.8774592110742193,0.863673484772339,0.43051801384826155
Stable_Correct,anchor_old,1726078,0.9574845400961023,0.8725838484500094,0.930207673053835,0.20181638921009828,0.08705088817843705,0.9332934014164233,0.9144713135591128,0.8963710966294187,0.7461995821950828
Stable_Correct,anchor_sym,1726078,0.9503040998147245,0.8317156381337243,0.9025265773396239,0.19865088426089755,0.08677450508480304,0.9263924962669077,0.9022611250595745,0.8826960258477271,0.6155129053606883
