draw,teacher-fixed_miou,teacher-fixed_accuracy,teacher-vs-rect_NetRepair,fixed-vs-rect_NetRepair,CCA:all:mean_dm,CCA:Top20:mean_dm,CCA:class0:mean_dm,CCA:class1:mean_dm,CCA:class2:mean_dm,CCA:class3:mean_dm,CCA:all:benefit_rate,CCA-U:all:benefit_rate,CCA-U:all:mean_dm,CCA-U:Top20:mean_dm,CCA-FA:all:benefit_rate,CCA-FA:all:mean_dm,CCA-FA:Top20:mean_dm
52,0.020513947011827183,0.011780100480417957,-0.03333344109868936,-0.04511354157910732,-0.0002928159008941208,-0.0006741872203999424,-0.000367005382826447,-0.00025064996280334354,-0.00027694851126365804,-0.0001289468142066292,0.17728303600871606,0.0,-9.25416069078734e-05,-0.0003937045733635143,0.0012523681436986363,4.332801630607502e-05,0.00017047150331533708
53,0.01970165537963431,0.011372167786397675,-0.03168253219627697,-0.04305469998267465,-0.0002889557304096743,-0.000674097875310268,-0.0003511745588120537,-0.00025146230956799264,-0.0002834742190906175,-0.0001455803600480331,0.18087185015496562,0.0,-9.44439478709414e-05,-0.0003983656646024298,0.0012211966042312357,4.3127910626062914e-05,0.00017230444727151298
54,0.019100495859652566,0.010962412173181252,-0.03133083225188245,-0.0422932444250637,-0.00028723098123422666,-0.0006728506483594313,-0.0003559463981469105,-0.00025517613572268214,-0.0002690157020995267,-0.00011474979641638368,0.18007625536132796,0.0,-9.373589803523859e-05,-0.0003979905711239903,0.0010334459973176263,4.284322315848544e-05,0.00017179163956941947
55,0.020757882226879576,0.012242711822329548,-0.03271896774006343,-0.04496167956239298,-0.00029260343774105174,-0.0006976933270673571,-0.0003645631114624755,-0.0002612315318306604,-0.0002628695050193159,-8.71469385139829e-05,0.17820000943049102,0.0,-9.653053145790382e-05,-0.00041721406428988104,0.0011695420932385395,4.540449381136593e-05,0.00018498594578071222
56,0.0201333176140428,0.011585380631922508,-0.03234987599066093,-0.043935256622583435,-0.0002891961526738337,-0.0006855872767584966,-0.00035304964976272526,-0.0002561967541258586,-0.00029618152631170284,-0.00011047703725926426,0.1796309611329687,0.0,-9.367190625240738e-05,-0.0004020040414396225,0.001136684951648476,4.312102439654845e-05,0.00017267153160935896
57,0.01830256646858275,0.011061000990079005,-0.03068355862682104,-0.041744559616900045,-0.00028657086192319383,-0.0006732139033804347,-0.0003559448552198509,-0.00026063134149262833,-0.00026563420321331374,-8.300944059984608e-05,0.18136307611484917,0.0,-9.529544972542671e-05,-0.0004023720382050438,0.0008538926269422724,4.187684985281297e-05,0.00016801121697529006
58,0.019774176846792835,0.011338004263636618,-0.03103011451291249,-0.042368118776549106,-0.000287886693788047,-0.0006716078722539657,-0.00035760411032536573,-0.00024380353341066363,-0.0002936951019135104,-0.00013316353613080945,0.1806288155967048,0.0,-9.290012386876023e-05,-0.00039383535483579203,0.0011029297228231602,4.4058895829356405e-05,0.00017554363615059594
59,0.018190276824750162,0.010848180380856576,-0.03177385062711283,-0.042622031007969415,-0.00028612351206131723,-0.0006869709502803244,-0.0003562173090388047,-0.00025389228002122347,-0.0002813359693219526,-4.73966344905909e-05,0.17673420395044015,0.0,-9.361744601862035e-05,-0.00040436633562564216,0.0011157578757316651,4.308378370158945e-05,0.00017621137114958596
60,0.01996485304678497,0.01166554298136506,-0.0325447690706023,-0.04421031205196736,-0.000291346067315156,-0.0006870634347233727,-0.0003514803335576263,-0.00026799320541785537,-0.000267427701530983,-0.00013031220708385342,0.18112868422619383,0.0,-9.614230309292264e-05,-0.0004072131158169504,0.0011191261965639366,4.447364981113787e-05,0.0001775345695460258
61,0.02102971224782646,0.01160446283518509,-0.03237429267625266,-0.04397875551143775,-0.0002826386501845122,-0.0006738824729311991,-0.0003524897317909286,-0.00025178160691208127,-0.00024361967459508047,-9.038686594848148e-05,0.18224688111504275,0.0,-9.305969352026151e-05,-0.0004083087334339074,0.0010387924168554802,4.297228833392873e-05,0.0001779966428527756
62,0.019667881311197344,0.011825385074358563,-0.0335192347586311,-0.04534461983298966,-0.00029855379015412227,-0.0007032616153535129,-0.0003629069420462212,-0.0002732694326127913,-0.0003002003886092922,-6.369667282220375e-05,0.1722467188378372,0.0,-9.453256696840477e-05,-0.00041201671442728314,0.0011303352364856324,4.501814091100258e-05,0.0001821355824268363
