draw,winner:all:image_auroc,gradient:all:image_auroc,winner:class0:image_auroc,winner:class1:image_auroc,winner:class2:image_auroc,winner:class3:image_auroc,delta-minus-q:image_auroc,HA:all:mean_dm,HA:Top20:mean_dm,HA:class0:mean_dm,HA:class1:mean_dm,HA:class2:mean_dm,HA:class3:mean_dm,HA:Rect_Correct:harm_rate,HA:Rect_Wrong:benefit_rate,HA:all:active_fraction,HA-CCA:all:mean_dm,HA-CCA:all:harm_rate,HA-CCA:Top20:mean_dm,HA-CCA:Top20:harm_rate,HA-CCA:Rect_Correct:mean_dm,HA-CCA:Rect_Correct:harm_rate,HA-CCA:Rect_Wrong:mean_dm,HA-CCA:Rect_Wrong:harm_rate,Accepted:teacher-rect_accuracy_delta,Accepted:NetRepair_rate,Accepted:NetRepair_count,winner:Teacher-Win_recall,winner:Rect-Win_recall,winner:zero-sign_BA
20,0.6300264368199849,0.5299358104478014,0.5520440823398627,0.715065480111714,0.41598240743276654,0.6851649921651111,0.006249585914455312,-0.00023182078255581647,-0.0004681003312871398,-0.00027848061887046486,-0.00018487107038353906,-0.000304532044817593,-0.00010685967262132515,0.8420830655625142,0.7340914678005299,0.837530612072472,5.881463211109733e-05,-0.12538004835168548,0.0002264562745617321,-0.2001286344969413,6.451645253457094e-05,-0.13177549768719318,3.22575797355885e-05,-0.09559231910844844,-0.01170957599863574,-0.01170957599863574,-24376.00000000001,0.6972599585539949,0.4823856330629681,0.5898227958084815
21,0.6114219667058821,0.5220155007274049,0.5388455392599731,0.7144453634614646,0.4301539975785089,0.6571350263102322,-0.00399300157924954,-0.00022888364284270575,-0.00046695483953273923,-0.00028434028466031047,-0.00016286509150609637,-0.00032387871018017963,-0.00010167584123946355,0.8420997549773329,0.7342774708994251,0.8375538934404733,5.403792961204757e-05,-0.12444210252805929,0.00019451120525171216,-0.19040287826507343,6.130907012669215e-05,-0.13115557451367466,2.2331956289855147e-05,-0.09516785548985426,-0.01313515864845687,-0.01313515864845687,-27267.00000000002,0.6992135497656311,0.4722481877987266,0.5857308687821788
22,0.6156735729015962,0.5208135273362429,0.5425423205693146,0.71156363679081,0.403815739710133,0.6453619569460156,-0.005977906265883032,-0.00024288387494263708,-0.0005064988169523557,-0.00030274394045280175,-0.0001892334938524926,-0.0002742371199092806,-0.0001508572316607669,0.8442597567318079,0.7256962249138007,0.8374078919906552,5.264578655766554e-05,-0.12412887713509121,0.00019717962912199033,-0.19403452660547077,5.979043947501645e-05,-0.13011494661622905,2.0673306838699218e-05,-0.0973410839006277,-0.015180593137446314,-0.015180593137446314,-31490.000000000015,0.6851916660833858,0.47144145938536164,0.5783165627343737
23,0.6146902969312855,0.5190794739852428,0.5524679197328052,0.704438886566711,0.38449594514495034,0.6805596972439855,-0.0008340378209541231,-0.0002406860484312017,-0.0005031916806776195,-0.0002793700516230784,-0.0001924530484668183,-0.0003132640218763424,-0.00016556793577686383,0.8426375922998695,0.7274397717927401,0.8369323807122424,5.557752105537054e-05,-0.1257335781211861,0.0002054718278323051,-0.1899270304895786,6.313162793330702e-05,-0.13152801982682466,2.1105692838796045e-05,-0.09929167012129674,-0.014719081818824966,-0.014719081818824966,-30584.000000000022,0.6925521170235704,0.4639402681147124,0.5782461925691414
24,0.6252204757290881,0.5265457545474378,0.5685976926495769,0.7107000784728355,0.4055586757566736,0.6625460118910255,0.009100672837258298,-0.00023187860938467264,-0.00046618099078135416,-0.00028157218874596575,-0.00017188945527074493,-0.0003033252311373001,-0.0001662597794571459,0.8423876665671929,0.7354983256224317,0.8375859193907472,5.6273832316298376e-05,-0.12487447266458855,0.00020316276788416397,-0.19098833294565576,6.170981266864931e-05,-0.13127874771559708,3.232501062255122e-05,-0.09665971997366196,-0.012674826013918887,-0.012674826013918887,-26408.00000000001,0.7093049252163026,0.4795795447964325,0.5944422350063676
25,0.621700772667022,0.5267614150377767,0.5569167962729897,0.7129478745941561,0.3978616549493604,0.6732889405384064,0.0073646264467880475,-0.00023943752257838647,-0.0004976617370136224,-0.00029320018194311934,-0.000178090702495169,-0.00031662732072324727,-0.00017004976726067673,0.844554193083176,0.732454108871066,0.8392292326458668,5.267740558310409e-05,-0.12305366816480337,0.00019659488037658882,-0.18994842890672953,5.842322422145864e-05,-0.1290393124943358,2.6824322354831528e-05,-0.09612149874454548,-0.013009886822531775,-0.013009886822531775,-27094.000000000022,0.6989829821261643,0.4731417900745766,0.5860623861003704
26,0.6032734439395576,0.5198548613469395,0.5326023150908411,0.6978611276149019,0.3921451151934152,0.6739266635590448,-0.0009242996931502183,-0.00023728710591723067,-0.0005027941913266217,-0.0002832430526746103,-0.00018419005767365132,-0.00028764843568589187,-0.00017604384428170262,0.8435178131301815,0.7292076582952449,0.8372755953559478,5.25047000578695e-05,-0.1240035476300987,0.00019576267440044693,-0.19269637211723759,5.95359011145542e-05,-0.13029203077152887,2.1564081552383636e-05,-0.09633124011270963,-0.015653665556993122,-0.015653665556993122,-32304.000000000015,0.6839346103888505,0.4685402733693297,0.5762374418790901
27,0.6177444055210112,0.5254699878361851,0.547329637535751,0.7112378656415373,0.39918639520255433,0.7022433706623957,0.004893460567124031,-0.00023455883127296767,-0.0004759648742779447,-0.00028587848372769293,-0.00018149336695284064,-0.00029291720044357804,-0.00016599056217687152,0.8432279328204231,0.7363149703639112,0.8391473789843187,5.584777434060829e-05,-0.1243200109620399,0.00020556114518905367,-0.18917108340226504,6.210144658321037e-05,-0.13071717871414168,2.784682037575531e-05,-0.09567655272133246,-0.01295620718405047,-0.01295620718405047,-26977.00000000002,0.7063108718029931,0.46617672519298164,0.5862437984979874
28,0.6222878233401481,0.527511472807455,0.5350055508081281,0.7114530340918098,0.418580555949153,0.6947571981509578,0.006645242765428585,-0.00023677111451699602,-0.0004829733362551604,-0.0002943830814214815,-0.00016993348985088524,-0.00032507666031044146,-0.0001489383164706032,0.8435077251537032,0.7352291797477025,0.8389991668049953,5.752929595004363e-05,-0.1249143839755811,0.00021622099634592692,-0.19643777800506385,6.351099918789209e-05,-0.1311028127181651,2.9612582116646617e-05,-0.09603287858896056,-0.012352058148122893,-0.012352058148122893,-25722.00000000002,0.7065174292802846,0.47714160216534496,0.5918295157228148
29,0.6259608278004966,0.5232814466201865,0.5573181782480301,0.7064964961865619,0.42267832374404346,0.7048920658211482,0.00338810693543355,-0.00023874834644335228,-0.0004896061290586914,-0.0002741274764865184,-0.00018282265305904105,-0.00033101891454342665,-0.0001982517153253339,0.8446589863631916,0.7337822361867502,0.8394259238021706,5.3811869455624336e-05,-0.12405891464854571,0.00019415597578039976,-0.18847822907016432,5.946946502606347e-05,-0.12958877152678855,2.782238525074107e-05,-0.09865622790591562,-0.012983758035474186,-0.012983758035474186,-26990.000000000022,0.7063477397149523,0.47375867894903373,0.590053209331993
