stratum,quantity,count,mean,std,median,min,max
class3,R_S,145803,0.6031350581896995,0.16021110915189565,0.5871534943580627,0.2359534204006195,0.9839257597923279
class3,R_D,145803,0.760392238482119,0.2086655703780231,0.794121265411377,0.0027755380142480135,1.0
class3,T_S,145803,0.8105515366399697,0.08400644821759254,0.8262158632278442,0.16380764544010162,0.9937545657157898
class3,T_D,145803,0.7065881236045864,0.13817535281846613,0.7439185380935669,0.030776141211390495,0.9999944567680359
class3,S_R,145803,0.6817636483334477,0.09760214617278111,0.6964374780654907,0.15477026998996735,0.9915188550949097
class3,S_T,145803,0.758569830142616,0.08844018585899421,0.7809739112854004,0.1327485591173172,0.9934810400009155
class3,delta,145803,0.07680618180916836,0.0813807658460272,0.07814240455627441,-0.6611997485160828,0.6184632778167725
boundary,R_S,201144,0.720533291281315,0.11330569131387332,0.7383556365966797,0.16534702479839325,0.9876558780670166
boundary,R_D,201144,0.7097051815399364,0.16070136703652754,0.713093638420105,0.006235575303435326,1.0
boundary,T_S,201144,0.8026522108084497,0.1015273720152788,0.8252454996109009,0.13681328296661377,0.991733193397522
boundary,T_D,201144,0.7093997699046336,0.13732275046328485,0.7159851789474487,0.030776141211390495,0.9999899864196777
