signal_set,signal,scope,scope_id,branch,samples,spearman_relative_utility,spearman_absolute_utility
A,top1_mean,branch,1,cam28_1,3418,0.05362290940609862,0.19665298462006994
A,top1_mean,branch,2,cam28_2,3418,-0.0040867002585778765,-0.029323842318666665
A,top1_mean,branch,3,camdeep,3418,0.03097032528556239,-0.06819958947055221
A,top1_std,all,-1,all,13672,-0.008460065526977572,-0.10670393087650248
A,top1_std,fold,0,all,2748,-0.0002675274755286401,-0.09858770839379209
A,top1_std,fold,1,all,2744,-0.07612188717909005,-0.06740383356155445
A,top1_std,fold,2,all,2692,0.03185466727950577,-0.20373349256210616
A,top1_std,fold,3,all,2724,0.023282688675155986,-0.1313315457791992
A,top1_std,fold,4,all,2764,-0.02999248488231024,-0.043049809936230324
A,top1_std,branch,0,cam56,3418,0.018592402584132972,0.05133434995146525
A,top1_std,branch,1,cam28_1,3418,0.026901243284839553,-0.12251218184876984
A,top1_std,branch,2,cam28_2,3418,0.029695404895026454,-0.14536039290809535
A,top1_std,branch,3,camdeep,3418,-0.07091538705483742,-0.24023224017174485
A,margin_mean,all,-1,all,13672,0.12109726291708282,0.20842019851596194
A,margin_mean,fold,0,all,2748,0.11089052496439486,0.14746794458853718
A,margin_mean,fold,1,all,2744,0.12122343414562774,0.1524283208586159
A,margin_mean,fold,2,all,2692,0.051081264362526885,0.28540154056766404
A,margin_mean,fold,3,all,2724,0.18009337925333258,0.16289026971917472
A,margin_mean,fold,4,all,2764,0.13746500975765516,0.21437579467039478
A,margin_mean,branch,0,cam56,3418,0.21494668906362177,0.45367735645672047
A,margin_mean,branch,1,cam28_1,3418,0.05227324149031165,0.31739124659166407
A,margin_mean,branch,2,cam28_2,3418,0.04318160138902726,0.17259933891251678
A,margin_mean,branch,3,camdeep,3418,0.05391392196609782,0.05645067621281462
A,margin_std,all,-1,all,13672,0.030957106475339637,-0.1308261331242695
A,margin_std,fold,0,all,2748,0.006234358930967139,-0.11784691177309134
A,margin_std,fold,1,all,2744,-0.006796382963557823,-0.16584994939859088
A,margin_std,fold,2,all,2692,0.02378789259478282,-0.22661542091504858
A,margin_std,fold,3,all,2724,0.07314900171232121,-0.14308182430487215
A,margin_std,fold,4,all,2764,0.04959223636929506,-0.012609849480951204
A,margin_std,branch,0,cam56,3418,0.09122997734668455,0.11194608021189847
A,margin_std,branch,1,cam28_1,3418,0.03937132866651251,-0.19492061401626412
A,margin_std,branch,2,cam28_2,3418,0.0023232265941322077,-0.25266167349720464
A,margin_std,branch,3,camdeep,3418,-0.0646514844699623,-0.21709846663584556
A,margin_p10,all,-1,all,13672,0.1273139730893213,0.3062668308917191
A,margin_p10,fold,0,all,2748,0.14062153004067152,0.2394552630927493
A,margin_p10,fold,1,all,2744,0.13686358036045013,0.2367341828147121
A,margin_p10,fold,2,all,2692,0.04688040373076008,0.4492579700381368
A,margin_p10,fold,3,all,2724,0.17377275868585548,0.268939912595176
A,margin_p10,fold,4,all,2764,0.1362829647907485,0.24152156002357417
A,margin_p10,branch,0,cam56,3418,0.21739293012392436,0.4932389173246085
A,margin_p10,branch,1,cam28_1,3418,0.02098235907785094,0.4526177488946548
A,margin_p10,branch,2,cam28_2,3418,0.045949690345825744,0.32251398182997687
A,margin_p10,branch,3,camdeep,3418,0.119313827636696,0.21208998298634502
A,margin_p50,all,-1,all,13672,0.12045998082747872,0.21837767047691706
A,margin_p50,fold,0,all,2748,0.10652885160342188,0.15801169624218686
A,margin_p50,fold,1,all,2744,0.12561387503807442,0.15615210450375858
A,margin_p50,fold,2,all,2692,0.04663668324847224,0.3040958762003326
A,margin_p50,fold,3,all,2724,0.17865604479583447,0.17644057244541173
A,margin_p50,fold,4,all,2764,0.14133973024988628,0.21612641033653748
A,margin_p50,branch,0,cam56,3418,0.2217787919877167,0.45259466913753077
A,margin_p50,branch,1,cam28_1,3418,0.05380023160674723,0.3194139507782091
A,margin_p50,branch,2,cam28_2,3418,0.03784477534031313,0.20595844271687724
A,margin_p50,branch,3,camdeep,3418,0.06711659232090962,0.13483453761920935
A,cam_class0_mean,all,-1,all,13672,0.1317357482459061,0.06586034764865509
A,cam_class0_mean,fold,0,all,2748,0.10818750341268665,0.06842983027098402
A,cam_class0_mean,fold,1,all,2744,0.12311797632908697,-0.3609438240204798
A,cam_class0_mean,fold,2,all,2692,0.12369740600152362,0.23955399399792665
A,cam_class0_mean,fold,3,all,2724,0.16731752254408686,0.22857690668069497
A,cam_class0_mean,fold,4,all,2764,0.06501996416284846,0.06027659810551259
A,cam_class0_mean,branch,0,cam56,3418,0.16744954104301638,0.11484980455333603
A,cam_class0_mean,branch,1,cam28_1,3418,0.18413976082662403,0.08617350900812434
A,cam_class0_mean,branch,2,cam28_2,3418,0.07608322750772302,0.07941890199355767
A,cam_class0_mean,branch,3,camdeep,3418,0.17225953570908936,0.10759523106322043
A,cam_class0_std,all,-1,all,13672,0.06535365635613011,-0.13410644818735243
A,cam_class0_std,fold,0,all,2748,0.0589436331402626,-0.101193716441297
A,cam_class0_std,fold,1,all,2744,0.03837898978143464,-0.36587251248829866
A,cam_class0_std,fold,2,all,2692,0.05696490931638315,-0.1289646202820073
A,cam_class0_std,fold,3,all,2724,0.07914181246379137,-0.024019709241515707
A,cam_class0_std,fold,4,all,2764,0.04684729653119583,-0.08541877927281284
A,cam_class0_std,branch,0,cam56,3418,-0.012749514382523048,-0.26711420774196626
A,cam_class0_std,branch,1,cam28_1,3418,0.1394262358449864,-0.13180698189335208
A,cam_class0_std,branch,2,cam28_2,3418,0.023802280659438856,-0.12749621297446614
