signal_set,signal,scope,scope_id,branch,samples,positive_fraction,auroc_relative_gain_positive
A,pred_class0_argmax_presence,branch,2,cam28_2,3418,0.2393212404915155,0.4401194282490126
A,pred_class0_argmax_presence,branch,3,camdeep,3418,0.21181977764774723,0.46974656182964397
A,cam_class1_mean,all,-1,all,13672,0.24049151550614395,0.6372153145256224
A,cam_class1_mean,fold,0,all,2748,0.23071324599708878,0.6899265524414374
A,cam_class1_mean,fold,1,all,2744,0.20298833819241982,0.5752902535711676
A,cam_class1_mean,fold,2,all,2692,0.23068350668647847,0.7113594605669428
A,cam_class1_mean,fold,3,all,2724,0.19823788546255505,0.6421499796499798
A,cam_class1_mean,fold,4,all,2764,0.3386396526772793,0.5872532448708598
A,cam_class1_mean,branch,0,cam56,3418,0.22440023405500292,0.6152301879146241
A,cam_class1_mean,branch,1,cam28_1,3418,0.2864248098303101,0.6370898336153943
A,cam_class1_mean,branch,2,cam28_2,3418,0.2393212404915155,0.6401203686289261
A,cam_class1_mean,branch,3,camdeep,3418,0.21181977764774723,0.6223154995549759
A,cam_class1_std,all,-1,all,13672,0.24049151550614395,0.614477365983227
A,cam_class1_std,fold,0,all,2748,0.23071324599708878,0.6006259158561371
A,cam_class1_std,fold,1,all,2744,0.20298833819241982,0.5792872687391384
A,cam_class1_std,fold,2,all,2692,0.23068350668647847,0.6911797065681977
A,cam_class1_std,fold,3,all,2724,0.19823788546255505,0.6532267501017501
A,cam_class1_std,fold,4,all,2764,0.3386396526772793,0.5557627433653145
A,cam_class1_std,branch,0,cam56,3418,0.22440023405500292,0.6327862305779178
A,cam_class1_std,branch,1,cam28_1,3418,0.2864248098303101,0.6692493993377113
A,cam_class1_std,branch,2,cam28_2,3418,0.2393212404915155,0.5853394771487681
A,cam_class1_std,branch,3,camdeep,3418,0.21181977764774723,0.5884862309121559
A,cam_class1_max,all,-1,all,13672,0.24049151550614395,0.5037076271186441
A,cam_class1_max,fold,0,all,2748,0.23071324599708878,0.5037842951750237
A,cam_class1_max,fold,1,all,2744,0.20298833819241982,0.5002286236854139
A,cam_class1_max,fold,2,all,2692,0.23068350668647847,0.5113471752776436
A,cam_class1_max,fold,3,all,2724,0.19823788546255505,0.5016025641025641
A,cam_class1_max,fold,4,all,2764,0.3386396526772793,0.5016411378555798
A,cam_class1_max,branch,0,cam56,3418,0.22440023405500292,0.5
