replicate,sampling_unit,sampled_slides,delta_mIoU
618,source_slide,22,-0.7142326391523346
619,source_slide,22,-0.6431976086762492
620,source_slide,22,-0.5532491388105076
621,source_slide,22,-0.7607139513000183
622,source_slide,22,-0.5021318048303969
623,source_slide,22,-0.7348423611747368
624,source_slide,22,-0.8426638393194907
625,source_slide,22,-0.6850037789225771
626,source_slide,22,-0.6581370826601818
627,source_slide,22,-0.7795077517727789
628,source_slide,22,-0.8060727872409523
629,source_slide,22,-0.8099161105380226
630,source_slide,22,-0.6405131126906216
631,source_slide,22,-0.6725496664697461
632,source_slide,22,-0.6528913154394966
633,source_slide,22,-0.5158340763221192
634,source_slide,22,-0.6717094873041951
635,source_slide,22,-0.732727671312905
636,source_slide,22,-1.0293662620678434
637,source_slide,22,-0.8879622572607992
638,source_slide,22,-0.6414375546813456
639,source_slide,22,-0.9062911664388329
640,source_slide,22,-0.8117168488436355
641,source_slide,22,-0.5484803745109623
642,source_slide,22,-0.8259829561641285
643,source_slide,22,-0.6120539824031712
644,source_slide,22,-0.849944172588013
645,source_slide,22,-0.5031783839510306
646,source_slide,22,-0.5340363090268752
647,source_slide,22,-0.8621948601311269
648,source_slide,22,-0.6955674972963011
649,source_slide,22,-0.853155262121108
650,source_slide,22,-0.9686023108074759
651,source_slide,22,-0.6475107066715169
652,source_slide,22,-0.5829385646517582
653,source_slide,22,-0.8493985115041625
654,source_slide,22,-0.6477893027700632
655,source_slide,22,-0.5764097401378621
656,source_slide,22,-0.8293436384730679
657,source_slide,22,-0.5648032814662196
658,source_slide,22,-0.6908363333645751
659,source_slide,22,-0.5925673481153249
660,source_slide,22,-0.9142532303324735
661,source_slide,22,-0.9880372786186697
662,source_slide,22,-0.4026329391726313
663,source_slide,22,-0.9571210900431448
664,source_slide,22,-0.5615107010375708
665,source_slide,22,-0.9851512216945912
666,source_slide,22,-0.7201431656950974
667,source_slide,22,-0.5454714136275851
668,source_slide,22,-0.7571721353739735
669,source_slide,22,-0.6609617150852398
670,source_slide,22,-0.82335123923436
671,source_slide,22,-0.7061154348045107
672,source_slide,22,-0.8043610778524224
673,source_slide,22,-0.646961793818579
674,source_slide,22,-0.8408258212734165
675,source_slide,22,-0.4768948633567027
676,source_slide,22,-0.7584597617095512
677,source_slide,22,-0.9360434039614396
678,source_slide,22,-0.7672227264496456
679,source_slide,22,-0.48889843611942263
680,source_slide,22,-0.8249848639877766
681,source_slide,22,-0.6123476899027258
682,source_slide,22,-0.8076902820496557
683,source_slide,22,-0.7899730320617304
684,source_slide,22,-0.9791947150534552
685,source_slide,22,-0.4329372066499526
686,source_slide,22,-0.887000173949759
687,source_slide,22,-0.3050306648829104
688,source_slide,22,-0.7608302695501723
689,source_slide,22,-0.9930077946005533
690,source_slide,22,-0.4977446876182401
691,source_slide,22,-0.7412817950854467
692,source_slide,22,-0.691993866252627
693,source_slide,22,-0.8210838778620055
694,source_slide,22,-0.6829017444370145
695,source_slide,22,-0.613635377631272
696,source_slide,22,-0.8108210251585035
697,source_slide,22,-0.7094132426117117
698,source_slide,22,-0.7272679317540942
699,source_slide,22,-0.4802227966357875
700,source_slide,22,-0.8446863442351349
701,source_slide,22,-0.5606137561147362
702,source_slide,22,-0.5332149682942267
703,source_slide,22,-0.7116690922791213
704,source_slide,22,-0.7917522754703366
705,source_slide,22,-0.6883319985425906
706,source_slide,22,-0.7491198227024265
707,source_slide,22,-0.5689288484807542
708,source_slide,22,-0.5040788904763893
709,source_slide,22,-0.7074454146624887
710,source_slide,22,-0.8389792806402618
711,source_slide,22,-0.7330911327504741
712,source_slide,22,-0.6597342271623896
713,source_slide,22,-0.6438084985389669
714,source_slide,22,-0.7289455022957636
715,source_slide,22,-0.852121110376769
716,source_slide,22,-0.6554839631207954
717,source_slide,22,-0.5814956381789749
718,source_slide,22,-0.8430890620503284
719,source_slide,22,-0.9453103038901789
720,source_slide,22,-0.4273836223452787
721,source_slide,22,-0.5109934408337846
722,source_slide,22,-0.5772091846268701
723,source_slide,22,-0.718657369066189
724,source_slide,22,-0.5726191185703722
725,source_slide,22,-0.6490761034403381
726,source_slide,22,-0.794562833310708
727,source_slide,22,-0.8284663234727763
728,source_slide,22,-0.6551213661313837
729,source_slide,22,-0.8800717142834813
730,source_slide,22,-0.9682662407485165
731,source_slide,22,-0.610624952142147
732,source_slide,22,-0.5236489190775129
733,source_slide,22,-0.5867420798775558
734,source_slide,22,-0.7789453822444115
