image_id,mIoU,mDice
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+121,0.19578280456563413,0.21498673059126971
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+122,0.08484800170068028,0.10144881489483383
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+123,0.35819317383082766,0.3476784056086898
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+124,0.666646734363243,0.3999909539631955
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+125,0.393189716628052,0.22010425630089667
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+126,0.307746426462312,0.30569229419004984
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+127,0.340745262468597,0.33664357688998336
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+128,0.20594907183225764,0.19766264096583272
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+129,0.2927295918367347,0.233786078098472
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+13,0.7069296672568613,0.4125796100386617
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+130,0.28890245935910325,0.2528285605176327
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+131,0.26230474657342867,0.2514991732087316
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+132,0.28253536569363696,0.276133214663716
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+133,0.28435643043245784,0.22078741196558652
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+134,0.26394092793367346,0.17274956628360486
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+135,0.14915994623655915,0.15457204540706176
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+136,0.34192641900510207,0.203061937056895
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+137,0.385921556122449,0.2178079726446504
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+138,0.11493393716886142,0.12819800232136144
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+139,0.2553367840590007,0.21687595184046435
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+14,0.5182098028753811,0.3350611280810018
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+140,0.40442508043791064,0.28790910559885596
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+141,0.4631069413970015,0.42163501925404595
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+142,0.21107700892857142,0.19385837533099856
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+143,0.5360539993600074,0.5021931773097961
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+144,0.20119180484693877,0.18819676613514622
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+145,0.284399095008346,0.271554882330606
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+146,0.3208373193027211,0.24522448233490063
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+147,0.2523615395473217,0.24208624098562762
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+148,0.5116720374759419,0.33179024324507556
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+149,0.5073658747083191,0.33642344514461264
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+15,0.15482954545454544,0.11822125813449023
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+150,0.40116570066269397,0.26836251337386696
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+151,0.6456529593156255,0.39204359613023965
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+152,0.2928197550652408,0.18466981504588315
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+153,0.329829248460913,0.19873320268757
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+154,0.46742061625890563,0.3182693509157387
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+155,0.7278613603650241,0.4173421934224623
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+156,0.3584346513322188,0.34891378441191817
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+157,0.4583793640405947,0.40718491069700563
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+158,0.24948090196886774,0.19934435132290246
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+159,0.6312748948230597,0.3864995236959754
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+16,0.26816183122593673,0.17454774523095462
