replicate,SRSC_image_balanced_pair_AUROC,SRSC_minus_U_purity,SRSC_Corrected_minus_Harmed_purity,Harmed_SRSC_minus_U_purity,SRSC_mean_N_eff,target_AUROC_purity,target_AUROC_purity_gain,target_AUROC_negative_wrong_mass,SRSC_minus_U_neighbor_accuracy,SRSC_minus_U_neighbor_mIoU,Top20_SRSC_minus_U_NetRepair
329,0.6226731334535036,0.011869183956099386,0.2706765126790555,0.006427313919772889,143.34477052352125,0.7745012934110184,0.5442405875250623,0.7478107277478948,0.019305336978274745,0.07982754217547278,0.05734946704849511
330,0.6223460203880814,0.011307024925875968,0.279125944545804,0.004318478063420227,142.98393364963638,0.779474105682995,0.5447304641037468,0.7533930916747171,0.020012726090866795,0.08134520870427109,0.060952474405521234
331,0.6222974160975439,0.011434400494030572,0.2632850174695766,0.0039748638988549,143.34524261284096,0.7673728323147495,0.5416545352884913,0.7412990534474244,0.018811261932029866,0.07999076231024949,0.059754941183004284
332,0.6190496464783186,0.011653408483240854,0.26137442743678957,0.00630237529084745,143.06032985617634,0.7666483250427563,0.533161080898343,0.7409833721146833,0.01814890652918666,0.07718698196898477,0.05319088027809016
333,0.624782117698622,0.011510396593835112,0.2621536343472666,0.007766690321277179,142.90323460381126,0.766925864198701,0.531144173731409,0.7407938460084879,0.017913442653217038,0.07511505621517645,0.05419909602936873
334,0.622628934069826,0.011800824535911405,0.2595963952871385,0.0050074382357792,143.14517953216387,0.7654597064359414,0.5357938303890067,0.7401968793405977,0.015760638330049925,0.07699121718045959,0.04479529444972541
335,0.6233175343056554,0.011874711533422686,0.2620328490788365,0.007395450952890194,143.1390895273732,0.7649778478070909,0.5362392259423828,0.7373076737265271,0.020618913927094473,0.08063772740287839,0.06082875379040312
336,0.6241703592845279,0.011942280837271151,0.26241945197941774,0.005986870660462986,143.23328643858636,0.7693010629723335,0.5349227391412275,0.7420562741335567,0.017091904926884505,0.07544998481046633,0.053321468835896946
337,0.6280189899498715,0.01193789845276454,0.26447652441435043,0.005883426465797336,142.99766139453735,0.7688514240677472,0.5350452308397443,0.7422112313753704,0.018121092649502457,0.07971996474325949,0.05501196807962788
338,0.6190803228384625,0.011560575462409375,0.25991519429934656,0.004639806955296525,143.04925658978186,0.761967793655326,0.5393482482735418,0.7368767675261411,0.017816359488287192,0.07530669882222069,0.052024044812649106
339,0.6211220128793472,0.011887326426596678,0.2547655151925524,0.007539649672365895,143.03943975146174,0.7614684431668667,0.5330435029677568,0.7339507006549795,0.01796454169816941,0.07745088316759752,0.057147110829215364
340,0.6213540603456822,0.011958263221238793,0.25875970653591907,0.00629959208377039,142.94715452837903,0.7636617970426053,0.5356997688779152,0.7354996102797988,0.018527516696320356,0.08140853052640207,0.058116137827949166
341,0.6218580618973907,0.01214520930793236,0.2653373095704192,0.006837428897646724,143.30287160470235,0.7687339097549841,0.5379886000096445,0.7415441195457896,0.016780186356239124,0.07501486020735487,0.05249487862390223
342,0.6219172672886448,0.0114202039163541,0.26281518268464554,0.005989788324061555,142.78348976451355,0.7652374137247588,0.5329486545688583,0.7385158762718785,0.019444586822205068,0.07657128433076282,0.05856944703563402
343,0.6188449842787728,0.01146901505243857,0.25835620341967835,0.006506154903419287,142.87787909831138,0.7664202653951755,0.5316805718737028,0.7420931746839353,0.018053124568411683,0.07874912236221848,0.057047081146012146
344,0.6255106414037768,0.011609876320901774,0.26227263580069987,0.006860579867584745,143.2301830431602,0.7653600249519691,0.5339460377853991,0.7379986946127586,0.018036536197095,0.07718090581221648,0.054808575996777076
345,0.6202094091376306,0.011579903067100984,0.2591783292683779,0.006670903505606963,142.88315927042544,0.7641971165608656,0.5380091986818339,0.7402737575954214,0.01795344389351905,0.07812387198949716,0.0547292655668454
346,0.6199089082735316,0.011627186031411,0.25927664918722404,0.007097823261275975,143.0850002675137,0.7632327317971428,0.540440142840351,0.7349641671401098,0.021140083669562215,0.08686741181621693,0.06830843713507201
347,0.6225283867665096,0.011538216586346007,0.2569242156320392,0.0064773484984432805,142.93806721240756,0.761980218029146,0.5388883880610297,0.7374037857946323,0.01857137351811977,0.08173881312981929,0.05778250695074008
348,0.618958216734122,0.011543829900165063,0.2626977873942552,0.007228160853704087,143.15551257871195,0.766605210357488,0.5340083731243094,0.7410869533975656,0.020738633161524467,0.08435965556352337,0.0640174744139303
349,0.619981430949785,0.011762970069675806,0.25829380273396013,0.007981060874038683,143.10195824306825,0.76491167338791,0.5283665011936097,0.7394693791284603,0.019593695590712668,0.08417324274128046,0.05911479344224696
350,0.6199115794084812,0.011796216663490722,0.25761001127486655,0.004427676597100437,143.05850456326712,0.7634965728230058,0.545981040801982,0.7370607471229267,0.0208082912626546,0.08604935166712918,0.06389457364341089
351,0.6205326128299089,0.011675990061828227,0.25369508741218166,0.006122368488665445,143.11520597614938,0.7654420719813273,0.533824886254373,0.7381612117704893,0.018611066784655628,0.07942528233843787,0.05635205421983633
352,0.6238344228061494,0.011488419734580018,0.26052368815723953,0.00472864531679379,142.7579806216194,0.7657472887850489,0.544295540271043,0.7387761803571913,0.018425226892240798,0.0751928118018359,0.05715488131143598
353,0.6176879198981664,0.01185533939282782,0.24997563642303886,0.007850851029420437,143.3297304698829,0.7596792967750806,0.5326503911960632,0.730193336621079,0.016009079631621348,0.06915501991329498,0.04473556039122975
354,0.6200355859682978,0.011170468961417502,0.25492015442634525,0.006830445763601862,143.27316557048775,0.7573074783595293,0.5350854228946779,0.733798775790048,0.015957179928191678,0.07464419072923112,0.04694795071247779
355,0.6246125756830668,0.012042121960153716,0.26780363812410957,0.005824707486626117,142.8063485593492,0.775383399250413,0.5360375450032242,0.7457541208441572,0.018380319667245848,0.080898667118051,0.05814137239409228
356,0.6209793646348892,0.011568389243610885,0.2534764175102683,0.004912854764538462,142.86125882236058,0.7572208984718166,0.5353834901214509,0.7360449166714514,0.02050905765616795,0.08217352719593907,0.06478363274919685
357,0.6206058351633539,0.01169208537890783,0.2621277117124423,0.006782870689883382,142.53166181527206,0.7609959238676393,0.5333087795990192,0.7391787145638865,0.021213504667871863,0.07941598191855348,0.0628814024863561
358,0.6220897334982777,0.011733306499537981,0.25895793514239873,0.005339447285437357,142.9763978679785,0.7680986212320411,0.5363131177798433,0.7406451165091267,0.01737698195901194,0.07717005191526438,0.0531475311761854
359,0.6169140830897968,0.011358014978329074,0.26426827898409,0.005224892477996202,142.82656668865474,0.767879354991036,0.5400615987796437,0.7413286932823165,0.01974098885839426,0.08022081251797109,0.06283963916253937
360,0.6217944632266975,0.011508854885554335,0.2634931274021446,0.0039689744432628545,143.13222807262704,0.7686683225136124,0.5421554602668959,0.7421667686229032,0.016194759494803423,0.07375201637689233,0.05185352847365271
361,0.6244426377318655,0.011652202425543557,0.2645184420431066,0.00775760739111098,142.95173809212622,0.769539136511047,0.5250397425183313,0.7439543019382645,0.020319834353546562,0.0809641976063521,0.06191638434543972
362,0.6209829723617006,0.01214112313945489,0.26297337946054755,0.005631945698482128,143.089378892315,0.7638232534389737,0.5413272239034872,0.7366465395750839,0.019963492052596954,0.08565430781453331,0.06427829870661667
363,0.6169649882056223,0.011084321137516631,0.2604354038931516,0.005146903732145524,142.77164141815555,0.7656297058129237,0.5350873939590141,0.7414214705707411,0.018797095426327348,0.07809701141186454,0.05985622293771509
364,0.6230366400072839,0.012094720837694806,0.2551475208169438,0.0073845655898295195,143.09777877572267,0.7638172132951736,0.5302484507911858,0.7376303334555843,0.017541924672651255,0.0783934970712093,0.05354630320678308
365,0.6178542982101656,0.011756200993427805,0.2566981187432703,0.007416363346781298,143.50399475359885,0.7654565152204138,0.5302208178523522,0.7400265402028532,0.018006751729744752,0.07535580929921398,0.053097889746593185
366,0.6271227555836143,0.01162529923536576,0.25652443038578493,0.006928902166107204,143.27765624340438,0.7620712242512115,0.534231360594296,0.7360818583129103,0.016411712389961197,0.0775781386396438,0.05011724812740401
367,0.6216738695403148,0.011405636153280687,0.25588975649292395,0.009485028913206546,143.36408565601496,0.7622121857380991,0.52022664744245,0.7355190487324554,0.014528947603175801,0.07080246016434366,0.046219079488403675
