group,estimator,accuracy,miou,dice,iou_class0,iou_class1,iou_class2,iou_class3,nll,brier,targets,coverage
class1,U,0.8407272191229568,0.2101818047807392,0.22836822598938217,0.0,0.8407272191229568,0.0,0.0,0.5613615158189917,0.294669994506136,1044692,1.0
class1,SR,0.8404936574607635,0.21012341436519089,0.2283337554719831,0.0,0.8404936574607635,0.0,0.0,0.5335970741915805,0.27804387446281986,1044692,1.0
class1,SC,0.8468170522986679,0.21170426307466697,0.2292639249904761,0.0,0.8468170522986679,0.0,0.0,0.5201582053505374,0.2674351935658317,1044692,1.0
class1,SRSC,0.8444287885807492,0.2111071971451873,0.22891336163499165,0.0,0.8444287885807492,0.0,0.0,0.502763071697317,0.2588348970157656,1044692,1.0
class1,raw,0.755598779353149,0.18889969483828725,0.21519688559807204,0.0,0.755598779353149,0.0,0.0,0.649854320634919,0.3600430647389697,1044692,1.0
class1,deep,0.7933448327353899,0.19833620818384748,0.22119137888425525,0.0,0.7933448327353899,0.0,0.0,1.5737436084633558,0.365569437150663,1044692,1.0
class1,oracle,0.8792825340482338,0.21982063351205844,0.233941016882155,0.0,0.8792825340482338,0.0,0.0,0.5094970477914202,0.25655480032049055,1044621,0.9999320373851814
class2,U,0.49427383583450535,0.12356845895862634,0.16538930950312358,0.0,0.0,0.49427383583450535,0.0,1.0802956326383661,0.6125983263464798,323515,1.0
class2,SR,0.5507287142790906,0.13768217856977266,0.17757094107047464,0.0,0.0,0.5507287142790906,0.0,1.0051862480055567,0.5650169805825902,323515,1.0
class2,SC,0.6101046319336043,0.15252615798340108,0.18946117532775444,0.0,0.0,0.6101046319336043,0.0,0.9807524393486208,0.5363830543475743,323515,1.0
class2,SRSC,0.6277328717370138,0.15693321793425344,0.1928242903478188,0.0,0.0,0.6277328717370138,0.0,0.9372381137899002,0.5096868987323125,323515,1.0
class2,raw,0.4546775265443643,0.11366938163609107,0.1562812094940609,0.0,0.0,0.4546775265443643,0.0,1.4697672088928726,0.7316920624886368,323515,1.0
class2,deep,0.6497256695980094,0.16243141739950234,0.1969193065160733,0.0,0.0,0.6497256695980094,0.0,2.5561355109466124,0.6120552404287025,323515,1.0
class2,oracle,0.5880665483749312,0.1470166370937328,0.18515173340081365,0.0,0.0,0.5880665483749312,0.0,0.9819817856960624,0.546529367035742,323494,0.9999350880175571
class3,U,0.09895543987435101,0.024738859968587754,0.04502249876740456,0.0,0.0,0.0,0.09895543987435101,1.8197841415633598,0.9569587742223765,145803,1.0
class3,SR,0.1728565255858933,0.04321413139647332,0.07369039682818147,0.0,0.0,0.0,0.1728565255858933,1.7607852417428915,0.9205697190536504,145803,1.0
class3,SC,0.23331481519584646,0.058328703798961615,0.09458850746019652,0.0,0.0,0.0,0.23331481519584646,1.6553872438392192,0.8686253422547039,145803,1.0
class3,SRSC,0.32447206161738784,0.08111801540434696,0.12249109325158457,0.0,0.0,0.0,0.32447206161738784,1.6073249160978125,0.8342294023119998,145803,1.0
class3,raw,0.16992791643518995,0.04248197910879749,0.07262324201689539,0.0,0.0,0.0,0.16992791643518995,2.2482048129099663,1.0590083119854266,145803,1.0
class3,deep,0.6768996522705294,0.16922491306763235,0.20183069730916944,0.0,0.0,0.0,0.6768996522705294,3.0073291971565435,0.5744661831439094,145803,1.0
class3,oracle,0.10547686820535683,0.026369217051339208,0.047706501709343374,0.0,0.0,0.0,0.10547686820535683,1.7791634193900567,0.9387475701437988,145795,0.9999451314444833
Deep_Correct,U,0.8788352788627155,0.6217458094681126,0.7193798644267724,0.85694986800132,0.807136398972487,0.6779325813416722,0.14496438955697163,0.501527342155311,0.24550061918271987,1902567,1.0
Deep_Correct,SR,0.8945855783265452,0.6721767804989434,0.7721940875298451,0.8700274683138359,0.8290213237880092,0.7373669354094792,0.2522913944844489,0.4535656983317027,0.2161546106109289,1902567,1.0
Deep_Correct,SC,0.9417208434709526,0.772329277781459,0.8447030168618641,0.9326646337285,0.9075548334687246,0.9050516049616514,0.3440460389669602,0.3883070324614612,0.16941592441273537,1902567,1.0
Deep_Correct,SRSC,0.950839050608993,0.8141845257275984,0.8829361545441832,0.9384185313350492,0.9217899220165582,0.918918918918919,0.4776107306398671,0.35093023548573654,0.14759934446148265,1902567,1.0
Deep_Correct,raw,0.8345761279366246,0.5838905845930338,0.7113982366892919,0.7756694975877111,0.7430376248319898,0.5756391335598814,0.241216082392553,0.4797180807598925,0.24811974778229964,1902567,1.0
Deep_Correct,deep,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04692563350644535,0.020143903270223994,1902567,1.0
Deep_Correct,oracle,0.9086937348195641,0.6721123098070485,0.7531123213466403,0.8957964408749968,0.8598300348786229,0.7785658814392958,0.15425688203527899,0.45356148395713036,0.21207663277160096,1902531,0.9999810781959322
Deep_Wrong,U,0.45986305361305363,0.20511211897165954,0.31161604112187435,0.3942716026587888,0.3132964984944926,0.11041487106617905,0.0024655036671777236,1.1140090416615787,0.6361919960376234,576576,1.0
Deep_Wrong,SR,0.4517322954822955,0.20677952459382512,0.3172392238359817,0.38574469946630113,0.29913125595333945,0.13630235450976888,0.005939788445890968,1.1290750886068845,0.6484920957311072,576576,1.0
Deep_Wrong,SC,0.3050907425907426,0.1219160139033195,0.20174775606500506,0.2552817655881723,0.19130445143456296,0.0399018669680875,0.0011759716224552744,1.3007535283007148,0.7715829921006649,576576,1.0
Deep_Wrong,SRSC,0.3002657065157065,0.12294472459030664,0.20499601760198224,0.25167753411824206,0.18350028056686446,0.05353804068213475,0.0030630429939852975,1.3339243206542724,0.7955288981484775,576576,1.0
Deep_Wrong,raw,0.31721577034077036,0.13375575766630318,0.22293804050004273,0.2434922689283895,0.2091391169348589,0.07506101222800046,0.007330632573963978,1.791659479658597,0.9280408090068695,576576,1.0
Deep_Wrong,deep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.519955279910746,1.694670175911136,576576,1.0
Deep_Wrong,oracle,0.542233023181588,0.2659821446917457,0.3848974880516103,0.47381327043022237,0.38982426397246694,0.19712157074550046,0.0031694736187931143,1.0282552046488644,0.5748594140568268,576492,0.9998543123543123
Top20_Deep_Correct,U,0.579197779915432,0.3964080921577159,0.5388362739679399,0.3977140768139005,0.48062814055303676,0.6078094054038425,0.09948074586008372,0.9559388807452535,0.5287640246178721,288998,1.0
Top20_Deep_Correct,SR,0.6376203295524536,0.46254169450684357,0.6112035760745287,0.42718679635619666,0.5308255435624645,0.6903378184941311,0.20181661961458205,0.8677992078192214,0.4738084915338142,288998,1.0
