image_id,UDT,RG,ADT,SDT,ADT_active_count,RG_active_count
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+27,1.3912662267684937,1.2949761152267456,1.635063886642456,2.022918224334717,284,284
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+28,1.2976266145706177,1.3101085424423218,1.6121556758880615,1.9222054481506348,259,259
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+29,0.8995095491409302,0.8472632169723511,1.0645262002944946,1.6347209215164185,236,236
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+3,1.0441688299179077,1.0366473197937012,1.0602467060089111,1.6227341890335083,349,349
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+30,1.1660020351409912,1.1602219343185425,1.4830166101455688,2.172363519668579,247,247
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+31,1.2719546556472778,1.2442642450332642,1.4215813875198364,1.8014243841171265,286,286
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+32,1.0370874404907227,1.1893665790557861,1.383960485458374,1.92392897605896,132,132
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+33,0.9918048977851868,0.9486980438232422,1.1651440858840942,1.8369812965393066,203,203
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+34,1.0576653480529785,1.174835205078125,1.2370378971099854,1.577317714691162,180,180
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+35,0.9354899525642395,1.0498744249343872,1.4395488500595093,1.8366495370864868,124,124
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+36,1.0466723442077637,1.016950249671936,1.341935157775879,1.615626335144043,103,103
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+37,1.635890007019043,1.6784589290618896,1.4616844654083252,2.1088855266571045,250,250
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+38,1.154327630996704,1.1103153228759766,1.4534834623336792,1.988255500793457,226,226
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+39,1.2439724206924438,1.1925855875015259,1.5551283359527588,1.9275370836257935,310,310
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+4,0.8576673269271851,1.045169472694397,1.0419502258300781,1.7786623239517212,256,256
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+40,1.0576564073562622,1.1217459440231323,1.2173727750778198,1.6961420774459839,338,338
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+41,1.19905686378479,1.160388708114624,1.3443125486373901,1.718856692314148,361,361
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+42,1.1512211561203003,1.194920539855957,1.5244338512420654,2.3566055297851562,240,240
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+43,1.1141372919082642,1.0908888578414917,1.3884758949279785,1.9293427467346191,199,199
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+44,1.198779821395874,1.184237003326416,1.3507071733474731,1.65753972530365,247,247
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+45,1.2544678449630737,1.1374651193618774,1.5265541076660156,2.132753372192383,311,311
