stratum,loss,targets,benefit_rate,harm_rate,zero_rate,mean_dm,median_dm,active_gradient_fraction,mean_gradient_norm,active_transfer_fraction,mean_dQ,dQ_negative_fraction,dQ_zero_fraction
Q3,RG,495829,0.22732433964128762,0.05139876852705268,0.7212768918316597,0.0002152371637207523,0.0,0.2787231081683403,0.0002818721408927622,0.2787231081683403,-3.7268292113592677e-05,0.2787231081683403,0.7212768918316597
Q3,ADT,495829,0.2824159135508411,0.03311222215723566,0.6844718642919232,0.00023938023646335644,0.0,0.31552813570807675,0.00025146463895319804,0.31552813570807675,-3.365124879893236e-05,0.3155220852350306,0.6844718642919232
Q3,SDT,495829,0.2824159135508411,0.03311222215723566,0.6844718642919232,9.394357406631668e-05,0.0,0.31552813570807675,0.00010967833518011254,0.31552813570807675,-1.4667467692316463e-05,0.3155220852350306,0.6844718642919232
Q3,PRG_previous,495829,0.777574526701746,0.22242547329825405,0.0,0.00010893025119951772,0.00011846072084154002,1.0,0.00013708798072595507,1.0,-1.8102613947526092e-05,0.9999878990539077,0.0
Q4,UDT,495828,0.7292145663415539,0.2707854336584461,0.0,0.0006073897039673333,0.0008158570562954992,1.0,0.0009598474940000668,1.0,-0.00020192202474635947,0.9999818485442532,0.0
Q4,RG,495828,0.21259388336277904,0.06075695604120784,0.7266491605960131,0.0006125604791596385,0.0,0.27335083940398686,0.0009610934424397018,0.27335083940398686,-0.00020222428548111518,0.27334680574715425,0.7266491605960131
Q4,ADT,495828,0.3730224997378123,0.04049589777100123,0.5864816024911864,0.0010166761084332329,0.0,0.41351839750881353,0.0010203767007275074,0.41351839750881353,-0.00021455166205489005,0.413508313366732,0.5864816024911864
Q4,SDT,495828,0.3730224997378123,0.04049589777100123,0.5864816024911864,0.0007720640234111329,0.0,0.41351839750881353,0.0007492311408491891,0.41351839750881353,-0.00015603330597392767,0.413508313366732,0.5864816024911864
Q4,PRG_previous,495828,0.7292145663415539,0.2707854336584461,0.0,0.0003249461814519608,0.00039488245238317177,1.0,0.00046686407560461187,1.0,-9.814686601810028e-05,0.9999818485442532,0.0
Q5,UDT,495828,0.727703961857741,0.2722839371717612,1.2100970497833926e-05,0.0015615135330174807,0.0020790710987057537,1.0,0.003122366534614261,1.0,-0.000674065027483789,0.9999858822010859,0.0
Q5,RG,495828,0.21506853182958607,0.06143259356067023,0.7234988746097437,0.0015591581470104433,0.0,0.2765031422186726,0.0031051929475516644,0.2765031422186726,-0.0006709115974408021,0.2765011253902563,0.7234968577813274
Q5,ADT,495828,0.4049589777100123,0.052766281855804835,0.5422747404341828,0.003101091145492115,0.0,0.4577272763942335,0.003560866467320229,0.4577272763942335,-0.0007694292013016906,0.45771719225215196,0.5422727236057665
Q5,SDT,495828,0.4049589777100123,0.052766281855804835,0.5422747404341828,0.004842329485997955,0.0,0.4577272763942335,0.005039059710892315,0.4577272763942335,-0.0010271731622619514,0.45771719225215196,0.5422727236057665
Q5,PRG_previous,495828,0.727703961857741,0.2722839371717612,1.2100970497833926e-05,0.0009606858154774677,0.0009931951281032525,1.0,0.0015113412537331456,1.0,-0.0003263035875150034,0.9999858822010859,0.0
Raw_Correct,UDT,1770736,0.862226215539753,0.13777209024947817,1.6942107688554365e-06,5.370084234507279e-05,5.3432285312737804e-05,1.0,0.0005653832139219368,1.0,-0.000111085063851279,0.9999932231569246,0.0
Raw_Correct,RG,1770736,0.2583722248827606,0.032347566209756845,0.7092802089074826,5.795915870581886e-05,0.0,0.2907203558294404,0.000563944697884198,0.2907203558294404,-0.00011088205890542433,0.2907203558294404,0.7092796441705596
