stage,gt_class,gt_class_name,group,metric,count,mean,std,min,p10,p25,p50,p75,p90,max,quantile_method,corrected_minus_harmed_mean,cohen_d_exact_moments,welch_p_on_reservoir,mann_whitney_p_on_reservoir,statistical_warning
stage1,1,stroma,HARMED_BY_FAMPR,band_weight_1,929590,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,1,stroma,HARMED_BY_FAMPR,band_weight_2,929590,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,1,stroma,HARMED_BY_FAMPR,band_weight_3,929590,1.125,0.0,1.125,1.125,1.125,1.125,1.125,1.125,1.125,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,1,stroma,HARMED_BY_FAMPR,high_frequency_ratio,929590,0.42049102313713715,0.042994158924983074,0.16116847097873688,0.37027607560157777,0.39293108880519867,0.41982564330101013,0.44729503989219666,0.4740561902523041,0.5939235687255859,"deterministic sampled reservoir, max=20000, stride=64",-0.013534501652898323,-0.29869507508690923,4.805761878694704e-165,1.5764916496460795e-154,exploratory only; reservoir approximation and spatially correlated pixels
stage1,1,stroma,HARMED_BY_FAMPR,g_low,929590,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,1,stroma,HARMED_BY_FAMPR,g_high,929590,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,1,stroma,HARMED_BY_FAMPR,g_high_over_low,929590,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,1,stroma,HARMED_BY_FAMPR,g_low_channel_std,929590,0.0006866455078125,0.0,0.0006866455078125,0.0006866455078125,0.0006866455078125,0.0006866455078125,0.0006866455078125,0.0006866455078125,0.0006866455078125,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,1,stroma,HARMED_BY_FAMPR,g_high_channel_std,929590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,1,stroma,HARMED_BY_FAMPR,anchor_lambda,929590,0.341796875,0.0,0.341796875,0.341796875,0.341796875,0.341796875,0.341796875,0.341796875,0.341796875,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
