stage,gt_class,gt_class_name,zone,metric,count,mean,std,min,p10,p25,p50,p75,p90,max,quantile_method,zone_pixels,a0_accuracy,fampr_accuracy,corrected_rate,harmed_rate,net_correction_rate
stage3,1,stroma,boundary,high_frequency_ratio,4113879,0.26953788289473485,0.046295844711921934,0.10523714870214462,0.2097821205854416,0.2354656457901001,0.2680884301662445,0.30218037962913513,0.330701568722725,0.4586770832538605,"deterministic sampled reservoir, max=20000, stride=64",4113879,0.5787411345836861,0.590632830960755,0.03694347840566045,0.025051782028591506,0.011891696377068942
stage3,1,stroma,boundary,r_mpr,4113879,0.2553282411069871,0.020150375957820665,0.18895722925662994,0.2278165340423584,0.24083828553557396,0.2558593302965164,0.26967497915029526,0.2812825918197632,0.4712796211242676,"deterministic sampled reservoir, max=20000, stride=64",4113879,0.5787411345836861,0.590632830960755,0.03694347840566045,0.025051782028591506,0.011891696377068942
stage1,1,stroma,interior,morphology,62731742,0.38034585445223396,0.03762273451487739,0.1181996688246727,0.342803955078125,0.3608805239200592,0.3830464780330658,0.40724945813417435,0.4323526918888092,0.572998046875,"deterministic sampled reservoir, max=20000, stride=64",62731742,0.8660245079755636,0.8678584599165124,0.015009578404502143,0.013175626463553332,0.0018339519409488103
stage1,1,stroma,interior,dilation,62731742,4.717933538974725,0.22578638661979247,3.56201171875,4.4075359344482425,4.555948972702026,4.698404788970947,4.835611820220947,4.944173336029053,6.293619632720947,"deterministic sampled reservoir, max=20000, stride=64",62731742,0.8660245079755636,0.8678584599165124,0.015009578404502143,0.013175626463553332,0.0018339519409488103
stage1,1,stroma,interior,high_frequency_ratio,62731742,0.4032535744739563,0.04183007367534212,0.11112955212593079,0.36064439117908476,0.3817288503050804,0.4056043177843094,0.43214593082666397,0.46099870502948764,0.6365798711776733,"deterministic sampled reservoir, max=20000, stride=64",62731742,0.8660245079755636,0.8678584599165124,0.015009578404502143,0.013175626463553332,0.0018339519409488103
stage1,1,stroma,interior,r_mpr,62731742,0.254800971887851,0.017681632306963468,0.1803678721189499,0.23743938207626342,0.247472632676363,0.2618865668773651,0.27209237217903137,0.27895866632461547,0.5085766315460205,"deterministic sampled reservoir, max=20000, stride=64",62731742,0.8660245079755636,0.8678584599165124,0.015009578404502143,0.013175626463553332,0.0018339519409488103
stage2,1,stroma,interior,morphology,62731742,0.3378201783725055,0.05007329357433516,0.12526004016399384,0.2775451749563217,0.31089401990175247,0.3473905026912689,0.3804607465863228,0.40845742821693437,0.5591023564338684,"deterministic sampled reservoir, max=20000, stride=64",62731742,0.8660245079755636,0.8678584599165124,0.015009578404502143,0.013175626463553332,0.0018339519409488103
stage2,1,stroma,interior,dilation,62731742,4.973071869193573,0.30047924089317374,3.6456706523895264,4.548600101470948,4.716512203216553,4.91595458984375,5.135040283203125,5.333817386627198,6.247477054595947,"deterministic sampled reservoir, max=20000, stride=64",62731742,0.8660245079755636,0.8678584599165124,0.015009578404502143,0.013175626463553332,0.0018339519409488103
stage2,1,stroma,interior,high_frequency_ratio,62731742,0.37034244602080374,0.05901439858329013,0.12118057161569595,0.30054561495780946,0.337863028049469,0.37983547151088715,0.41926755011081696,0.45307452082633975,0.6607629656791687,"deterministic sampled reservoir, max=20000, stride=64",62731742,0.8660245079755636,0.8678584599165124,0.015009578404502143,0.013175626463553332,0.0018339519409488103
stage2,1,stroma,interior,r_mpr,62731742,0.24679937315220435,0.01781987018743725,0.17906491458415985,0.22062278538942337,0.23155418038368225,0.2475091740489006,0.25858108699321747,0.2671726197004318,0.6893089413642883,"deterministic sampled reservoir, max=20000, stride=64",62731742,0.8660245079755636,0.8678584599165124,0.015009578404502143,0.013175626463553332,0.0018339519409488103
