stage,gt_class,gt_class_name,metric,count,mean,std,min,p10,p25,p50,p75,p90,max,quantile_method,correlation_with_morphology,correlation_with_high_frequency_ratio
stage2,1,stroma,g_low_channel_std,66845621,0.001739501953125,0.0,0.001739501953125,0.001739501953125,0.001739501953125,0.001739501953125,0.001739501953125,0.001739501953125,0.001739501953125,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,1,stroma,g_high_channel_std,66845621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,1,stroma,anchor_lambda,66845621,0.326171875,0.0,0.326171875,0.326171875,0.326171875,0.326171875,0.326171875,0.326171875,0.326171875,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,1,stroma,gamma_context,66845621,1.5859375,0.0,1.5859375,1.5859375,1.5859375,1.5859375,1.5859375,1.5859375,1.5859375,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,1,stroma,r_fa,66845621,0.7596091648129851,0.05513011891803716,0.5504341721534729,0.6801482975482941,0.7138397693634033,0.7621407806873322,0.7970002740621567,0.8264347672462463,2.118891954421997,"deterministic sampled reservoir, max=20000, stride=64",-0.02530660414698312,-0.048126922013747166
stage2,1,stroma,r_mpr,66845621,0.2471128223792479,0.01793469485543489,0.17906491458415985,0.22126293629407884,0.23222332447767258,0.2479364052414894,0.25927671790122986,0.26885225474834445,0.6893089413642883,"deterministic sampled reservoir, max=20000, stride=64",-0.025306590397076407,-0.04812690990198385
stage2,2,normal,morphology,20708801,0.36540338236204084,0.03861656131182333,0.1967875212430954,0.3186086118221283,0.34358279407024384,0.3713010251522064,0.3975842818617821,0.4188774108886719,0.5139389038085938,"deterministic sampled reservoir, max=20000, stride=64",0.9999999999981202,0.9733054321657463
stage2,2,normal,dilation,20708801,4.807570180787234,0.23177100233769424,3.9165446758270264,4.4863646030426025,4.61474609375,4.772786617279053,4.938710689544678,5.087972164154053,5.809163570404053,"deterministic sampled reservoir, max=20000, stride=64",-0.9997495544061146,-0.9730501630819065
stage2,2,normal,band_weight_0,20708801,0.9921875,0.0,0.9921875,0.9921875,0.9921875,0.9921875,0.9921875,0.9921875,0.9921875,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,2,normal,band_weight_1,20708801,1.0078125,0.0,1.0078125,1.0078125,1.0078125,1.0078125,1.0078125,1.0078125,1.0078125,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,2,normal,band_weight_2,20708801,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
